Wavelength (nm)	Reflectance
300	0.3521837
302	0.3541168
304	0.3690195
306	0.3923924
308	0.42009
310	0.448875
312	0.4763459
314	0.5011687
316	0.5225272
318	0.540159
320	0.5539578
322	0.5638533
324	0.570131
326	0.572871
328	0.5722137
330	0.5682922
332	0.5612295
334	0.5510191
336	0.5378909
338	0.5218684
340	0.5030986
342	0.4819524
344	0.4587239
346	0.4340747
348	0.4087951
350	0.3838898
352	0.3606821
354	0.3406557
356	0.3249916
358	0.3147461
360	0.3102013
362	0.3113982
364	0.3177289
366	0.3280021
368	0.3410004
370	0.3559055
372	0.3717818
374	0.3875945
376	0.4026159
378	0.4166327
380	0.4297988
382	0.4417288
384	0.4524073
386	0.4617143
388	0.469554
390	0.4758897
392	0.4808136
394	0.4842749
396	0.4862788
398	0.4868378
400	0.485953
402	0.4836881
404	0.4800565
406	0.4750071
408	0.4685415
410	0.4608235
412	0.4518006
414	0.4415175
416	0.430054
418	0.4174893
420	0.4037744
422	0.3889766
424	0.373229
426	0.3566902
428	0.3394543
430	0.3216373
432	0.3034273
434	0.2850167
436	0.2666837
438	0.2483917
440	0.2305282
442	0.213673
444	0.1977802
446	0.1830735
448	0.1699467
450	0.1584431
452	0.1487644
454	0.1411754
456	0.1356646
458	0.1323043
460	0.1310235
462	0.1317339
464	0.1343018
466	0.1386031
468	0.144668
470	0.1521406
472	0.1606509
474	0.1702843
476	0.1809779
478	0.1920398
480	0.2033051
482	0.2149584
484	0.2267478
486	0.2384549
488	0.2499785
490	0.2612133
492	0.2720881
494	0.2826143
496	0.2926586
498	0.3021863
500	0.3111636
502	0.3195962
504	0.3274338
506	0.334606
508	0.3412033
510	0.3473811
512	0.3529458
514	0.3578269
516	0.3620767
518	0.3658032
520	0.3689824
522	0.3716022
524	0.3736459
526	0.3751525
528	0.3761629
530	0.3766412
532	0.3765827
534	0.3760244
536	0.3750214
538	0.3735493
540	0.3716202
542	0.3692543
544	0.3664428
546	0.3632124
548	0.3595624
550	0.3555133
552	0.3510622
554	0.3462382
556	0.3411064
558	0.3356252
560	0.3297936
562	0.323626
564	0.3171519
566	0.3104181
568	0.3034088
570	0.2961376
572	0.2886226
574	0.280887
576	0.2729865
578	0.264912
580	0.2567063
582	0.2484739
