Wavelength (nm)	Reflectance
300	0.5744855
302	0.5851456
304	0.5928072
306	0.5972017
308	0.5983626
310	0.5963558
312	0.5912101
314	0.5829054
316	0.5713943
318	0.5567046
320	0.5388257
322	0.5178118
324	0.4938518
326	0.4673378
328	0.4388103
330	0.4090295
332	0.3791554
334	0.3504979
336	0.3248216
338	0.3036092
340	0.2882945
342	0.2801006
344	0.2794694
346	0.2864413
348	0.3003874
350	0.3202394
352	0.3445892
354	0.3724284
356	0.4022266
358	0.4325887
360	0.4616532
362	0.4879688
364	0.5102653
366	0.5277109
368	0.54025
370	0.548585
372	0.5533185
374	0.554833
376	0.5535788
378	0.5501578
380	0.5452213
382	0.5387829
384	0.5310272
386	0.5219829
388	0.5116378
390	0.5000176
392	0.4872588
394	0.4732941
396	0.4581644
398	0.4419247
400	0.4246259
402	0.4063751
404	0.3872804
406	0.3674212
408	0.3469447
410	0.3261027
412	0.3051066
414	0.2842755
416	0.2639645
418	0.2444887
420	0.226046
422	0.2089673
424	0.1936147
426	0.180292
428	0.1691444
430	0.1603272
432	0.1539587
434	0.1500471
436	0.1485877
438	0.1494972
440	0.1526229
442	0.1576368
444	0.1644453
446	0.1728259
448	0.1823593
450	0.1929402
452	0.2044016
454	0.2162739
456	0.2283962
458	0.2406836
460	0.2529192
462	0.2648881
464	0.2765247
466	0.2877799
468	0.2988526
470	0.3093401
472	0.3190401
474	0.3282725
476	0.3370909
478	0.3450197
480	0.3521204
482	0.3586639
484	0.3645557
486	0.3697718
488	0.3743089
490	0.3781788
492	0.3813908
494	0.3840229
496	0.3860213
498	0.3874434
500	0.3882641
502	0.388528
504	0.3882153
506	0.387364
508	0.3859728
510	0.3840873
512	0.3816679
514	0.3787543
516	0.3753585
518	0.3715463
520	0.3672882
522	0.3625463
524	0.3573594
526	0.3517758
528	0.3458265
530	0.339486
532	0.3328048
534	0.3257729
536	0.3184529
538	0.3108157
540	0.3028736
542	0.2946965
544	0.2862824
546	0.2776966
548	0.2689267
550	0.2599527
552	0.2508302
554	0.2416627
556	0.2325831
558	0.223485
560	0.2143399
562	0.2052268
564	0.1962215
566	0.1874051
568	0.1787565
570	0.1702982
572	0.1620767
574	0.1541393
576	0.1465536
578	0.1393223
580	0.1324941
582	0.1261463
584	0.1202322
586	0.1147682
588	0.1097829
590	0.1053072
592	0.101364
594	0.0979618
596	0.0951074
598	0.0928185
600	0.0910824
602	0.0898866
604	0.0892319
606	0.0891085
608	0.0895106
610	0.090418
612	0.0917796
614	0.0936017
616	0.0959054
618	0.0986452
620	0.1017768
622	0.1052459
624	0.1090639
626	0.1131789
628	0.1175723
630	0.1222235
632	0.1271071
634	0.1321928
636	0.1374832
638	0.1429559
640	0.1485481
642	0.1541725
644	0.1598556
646	0.1656245
648	0.1714793
650	0.1773552
652	0.1831731
654	0.1889981
656	0.1948013
658	0.2005834
660	0.2063007
662	0.2119858
664	0.2175925
666	0.2230821
668	0.2284538
670	0.2337237
672	0.2388825
674	0.2439243
676	0.2488522
678	0.2536585
680	0.2583517
682	0.2629623
684	0.2674404
686	0.2717555
688	0.2759077
690	0.2799133
692	0.283772
694	0.2874836
696	0.2910481
698	0.29446
700	0.2977231
702	0.3008498
704	0.3038334
706	0.3066734
708	0.3093694
710	0.3119054
712	0.3142939
714	0.3165755
716	0.3187299
718	0.3207676
720	0.322679
722	0.3244545
724	0.3260882
726	0.3275828
728	0.3289396
730	0.3301756
732	0.3312939
734	0.3322907
736	0.3331779
738	0.3339433
740	0.3345582
742	0.3350551
744	0.33543
746	0.335689
748	0.3358289
750	0.3358529
752	0.3357783
754	0.3356203
756	0.3353567
758	0.335013
760	0.334567
762	0.3340305
764	0.3333994
766	0.3326772
768	0.33187
770	0.3309699
772	0.3299385
774	0.3288156
776	0.3275879
778	0.3262605
780	0.324851
782	0.323382
784	0.3218309
786	0.3201948
788	0.3184777
790	0.3166854
792	0.3148295
794	0.3128994
796	0.3108836
798	0.3087892
800	0.3066244
802	0.3043715
804	0.302053
806	0.2996958
808	0.2973047
810	0.2948531
812	0.2923891
814	0.2898752
816	0.2872997
818	0.284638
820	0.2819252
822	0.2791396
824	0.2762952
826	0.2734046
828	0.2704798
830	0.2675162
832	0.2645271
834	0.2614997
836	0.2584359
838	0.2553379
840	0.2522072
842	0.2490303
844	0.2458245
846	0.242592
848	0.2393347
850	0.2360548
852	0.2327544
854	0.2294355
856	0.2261002
858	0.2227507
860	0.219389
862	0.2160339
864	0.2126711
866	0.2093025
868	0.2059304
870	0.2025569
872	0.1991675
874	0.1957811
876	0.1923998
878	0.1890258
880	0.1856613
882	0.1823244
884	0.1790011
886	0.1757022
888	0.1724554
890	0.1692279
892	0.1660217
894	0.1628389
896	0.1596815
898	0.1565515
900	0.153451
902	0.1503674
904	0.1473176
906	0.1443034
908	0.1413267
910	0.1383895
912	0.1355062
914	0.1326653
916	0.1298684
918	0.1271172
920	0.1244133
922	0.1217471
924	0.119132
926	0.1165694
928	0.1140609
930	0.1116078
932	0.1092207
934	0.1068907
936	0.104619
938	0.1024068
940	0.1002552
942	0.0981651
944	0.0961374
946	0.0941732
948	0.0922731
950	0.0904378
952	0.0886633
954	0.0869582
956	0.0853336
958	0.0837769
960	0.0822887
