Wavelength (nm)	Reflectance
300	0.575098
302	0.5812689
304	0.5860124
306	0.589012
308	0.5902284
310	0.589669
312	0.5873191
314	0.583146
316	0.577098
318	0.5692035
320	0.5594271
322	0.5477155
324	0.5341344
326	0.5187549
328	0.50166
330	0.4829682
332	0.462936
334	0.4417727
336	0.4200254
338	0.3980368
340	0.3763529
342	0.355725
344	0.3367639
346	0.3203098
348	0.3071032
350	0.2978059
352	0.2929757
354	0.2931884
356	0.2983748
358	0.3082154
360	0.3215543
362	0.3371866
364	0.3536491
366	0.3695309
368	0.3840216
370	0.3971061
372	0.4088232
374	0.4190301
376	0.4277624
378	0.4353628
380	0.4423497
382	0.4485902
384	0.4542199
386	0.4592067
388	0.4634975
390	0.4670686
392	0.4700065
394	0.4722461
396	0.473771
398	0.4745696
400	0.4746185
402	0.4739672
404	0.4726023
406	0.4704514
408	0.4674994
410	0.4639231
412	0.4596434
414	0.454675
416	0.4490614
418	0.4428586
420	0.4359923
422	0.4284777
424	0.420383
426	0.4117167
428	0.4024887
430	0.3927342
432	0.3824945
434	0.3717909
436	0.3607274
438	0.3491307
440	0.3371205
442	0.3250109
444	0.3126312
446	0.2999996
448	0.287361
450	0.2745803
452	0.2617084
454	0.2490671
456	0.2366205
458	0.2244809
460	0.2126719
462	0.2013439
464	0.1904931
466	0.180149
468	0.1702535
470	0.1610687
472	0.1527972
474	0.1452346
476	0.1384424
478	0.1326665
480	0.1278451
482	0.1239005
484	0.1208655
486	0.1187929
488	0.1176109
490	0.1172966
492	0.1178065
494	0.1191561
496	0.1212539
498	0.1240717
500	0.1275309
502	0.1316017
504	0.1362061
506	0.1412211
508	0.1466695
510	0.1526922
512	0.1590486
514	0.1655579
516	0.1722165
518	0.1790906
520	0.1861147
522	0.1932555
524	0.2004108
526	0.2075649
528	0.2147264
530	0.2218139
532	0.2287178
534	0.2355055
536	0.2421957
538	0.248763
540	0.2552157
542	0.2614891
544	0.2675626
546	0.2733944
548	0.279015
550	0.2845468
552	0.2899046
554	0.2949824
556	0.2996934
558	0.3041773
560	0.3085613
562	0.3127499
564	0.3166869
566	0.3203363
568	0.3237568
570	0.3270023
572	0.3300492
574	0.3328701
576	0.3354776
578	0.3378653
580	0.3400302
582	0.3419521
584	0.3436702
586	0.3452254
588	0.3466076
590	0.3477909
592	0.3488027
594	0.3496272
596	0.350262
598	0.3507278
600	0.3510116
602	0.3511135
604	0.3510516
606	0.3508218
608	0.3504259
610	0.3498687
612	0.3491533
614	0.3482875
616	0.3473017
618	0.346162
620	0.3448727
622	0.3434153
624	0.3418255
626	0.3401122
628	0.3382966
630	0.3363557
632	0.3342931
634	0.3321142
636	0.3298093
638	0.3273806
640	0.3248324
642	0.3221877
644	0.3194226
646	0.3165419
648	0.3135639
650	0.3104947
652	0.3073635
654	0.3041622
656	0.3008807
658	0.2975398
660	0.2941073
662	0.2905416
664	0.2869016
666	0.2832053
668	0.2794649
670	0.2756643
672	0.2718076
674	0.2678965
676	0.2639478
678	0.2599552
680	0.2559319
682	0.2518438
684	0.2477309
686	0.2435999
688	0.2394553
690	0.2352843
692	0.2310911
694	0.2268775
696	0.2226491
698	0.218406
700	0.2141558
702	0.2099136
704	0.205677
706	0.2014508
708	0.1972366
710	0.1930213
712	0.1888209
714	0.1846752
716	0.1805681
718	0.1765092
720	0.1724934
722	0.1684944
724	0.1645339
726	0.160615
728	0.1567416
730	0.1529319
732	0.1492096
734	0.1455503
736	0.1419626
738	0.1384427
740	0.1349719
742	0.1315757
744	0.128254
746	0.1250119
748	0.1218477
750	0.1187652
752	0.1157789
754	0.1129003
756	0.1101148
758	0.1074433
760	0.1048684
762	0.1024025
764	0.1000374
766	0.097776
768	0.0956225
770	0.0935715
772	0.0915967
774	0.0897266
776	0.0879517
778	0.0862749
780	0.0847078
782	0.083265
784	0.0819295
786	0.0806982
788	0.0795724
790	0.0785547
792	0.0776513
794	0.0768531
796	0.0761505
798	0.0755463
800	0.0750437
802	0.0746289
804	0.0743145
806	0.0741156
808	0.0740331
810	0.0740464
812	0.074168
814	0.0743853
816	0.0746878
818	0.0750557
820	0.0755095
822	0.0760513
824	0.0766686
826	0.0773665
828	0.0781498
830	0.0790119
832	0.0799355
834	0.0809303
836	0.081994
838	0.0831244
840	0.0843194
842	0.085591
844	0.0869231
846	0.0883136
848	0.08976
850	0.0912602
852	0.0928118
854	0.0944126
856	0.0960603
858	0.0977528
860	0.0994877
862	0.1012461
864	0.1030423
866	0.1048743
868	0.10674
870	0.1086373
872	0.1105823
874	0.1125554
876	0.1145545
878	0.116578
880	0.1186238
882	0.1206719
884	0.1227387
886	0.1248301
888	0.1269674
890	0.1291189
892	0.131283
894	0.1334582
896	0.135643
898	0.137836
900	0.1400357
902	0.1422596
904	0.1444875
906	0.1467183
908	0.1489507
910	0.1511835
912	0.153397
914	0.1556088
916	0.1578177
918	0.1600228
920	0.1622231
922	0.1644358
924	0.1666417
926	0.1688399
928	0.1710295
930	0.1732098
932	0.1753622
934	0.177504
936	0.1796344
938	0.1817529
940	0.1838587
942	0.1859512
944	0.1880299
946	0.1900943
948	0.1921438
950	0.1941779
952	0.1962128
954	0.1982341
956	0.2002546
958	0.2022581
960	0.2042439
962	0.206196
964	0.20813
966	0.2100458
968	0.2119431
970	0.2138215
972	0.2156808
974	0.2175208
976	0.2193413
978	0.2211422
980	0.2229231
982	0.2246984
984	0.2264532
986	0.2281872
988	0.2299006
990	0.2315931
992	0.2332511
994	0.2348884
996	0.2365049
998	0.2381005
1000	0.2396752
1002	0.2412425
1004	0.242789
1006	0.2443145
1008	0.2458191
1010	0.2473029
1012	0.2487657
1014	0.2502076
1016	0.2516287
1018	0.2530288
1020	0.2544083
1022	0.2557782
1024	0.257127
1026	0.2584549
1028	0.2597619
1030	0.261048
1032	0.262303
1034	0.2635376
1036	0.2647518
1038	0.2659459
1040	0.2671198
1042	0.2682737
1044	0.2694077
1046	0.2705218
1048	0.2716161
1050	0.2726908
1052	0.2737005
1054	0.2746856
1056	0.2756781
1058	0.2766916
1060	0.277686
1062	0.2786615
1064	0.2796182
1066	0.2805562
1068	0.2814757
1070	0.2823767
1072	0.2832669
1074	0.2841386
1076	0.2849919
1078	0.2858271
1080	0.2866442
1082	0.2874366
1084	0.2882115
1086	0.2889708
1088	0.2897153
1090	0.2904427
1092	0.29115
1094	0.2918402
1096	0.2925146
1098	0.293174
1100	0.2938169
1102	0.2944443
1104	0.2950556
1106	0.2956509
1108	0.2962302
1110	0.2967937
1112	0.2973416
1114	0.2978739
1116	0.2983909
1118	0.2988926
1120	0.2993792
1122	0.2998509
1124	0.3003076
1126	0.3007497
1128	0.3011771
1130	0.3015901
1132	0.3019962
1134	0.3023884
1136	0.3027645
1138	0.3031238
1140	0.3034691
1142	0.3038013
1144	0.3041204
1146	0.3044261
1148	0.3047184
1150	0.3049975
1152	0.3052636
1154	0.3055167
1156	0.305757
1158	0.3059845
1160	0.3061995
1162	0.306402
1164	0.3065922
1166	0.3067701
1168	0.306936
1170	0.3070898
1172	0.3072317
1174	0.3073618
1176	0.3074821
1178	0.3075934
1180	0.3076933
1182	0.3077779
1184	0.3078509
1186	0.307914
1188	0.3079679
1190	0.308011
1192	0.3080417
1194	0.3080616
1196	0.3080721
1198	0.308074
1200	0.3080655
1202	0.3080477
1204	0.3080198
1206	0.3079808
1208	0.3079308
1210	0.3078707
1212	0.3078018
1214	0.3077233
1216	0.3076369
1218	0.3075438
1220	0.3074413
1222	0.3073256
1224	0.3072004
1226	0.307066
1228	0.3069227
1230	0.3067705
1232	0.3066134
1234	0.3064481
1236	0.3062742
1238	0.3060917
1240	0.3059008
1242	0.3056977
1244	0.3054858
1246	0.3052675
1248	0.3050438
1250	0.3048121
1252	0.3045725
1254	0.304325
1256	0.3040698
1258	0.3038069
1260	0.3035365
1262	0.3032586
1264	0.3029732
1266	0.3026806
1268	0.3023806
1270	0.3020735
1272	0.3017594
1274	0.3014383
1276	0.3011098
1278	0.3007739
1280	0.300431
1282	0.3000824
1284	0.299727
1286	0.2993668
1288	0.2990027
1290	0.2986321
1292	0.2982553
1294	0.2978722
1296	0.2974811
1298	0.2970814
1300	0.2966756
1302	0.2962677
1304	0.2958543
1306	0.2954351
1308	0.2950102
1310	0.2945795
1312	0.2941432
1314	0.2937013
1316	0.2932539
1318	0.2928011
1320	0.292343
1322	0.2918795
1324	0.2914108
1326	0.2909386
1328	0.2904639
1330	0.2899842
1332	0.2894956
1334	0.2890017
1336	0.2885029
1338	0.2879992
1340	0.2874909
1342	0.2869818
1344	0.2864684
1346	0.2859499
1348	0.2854258
1350	0.2848973
1352	0.2843593
1354	0.2838169
1356	0.2832711
1358	0.2827227
1360	0.28217
1362	0.2816176
1364	0.2810612
1366	0.2805008
1368	0.2799365
1370	0.2793683
1372	0.2787964
1374	0.2782206
1376	0.2776412
1378	0.2770581
1380	0.2764714
1382	0.2758812
1384	0.2752875
1386	0.2746903
1388	0.2740898
1390	0.2734859
1392	0.2728826
1394	0.2722766
1396	0.2716656
1398	0.2710489
1400	0.2704291
1402	0.2698063
1404	0.2691806
1406	0.2685536
1408	0.2679262
1410	0.267296
1412	0.2666579
1414	0.266017
1416	0.2653717
1418	0.2647211
1420	0.264068
1422	0.2634212
1424	0.2627725
1426	0.2621212
1428	0.2614675
1430	0.2608115
1432	0.2601531
1434	0.2594925
1436	0.2588296
1438	0.2581645
1440	0.2574973
1442	0.256828
1444	0.2561566
1446	0.2554832
1448	0.2548078
1450	0.2541305
1452	0.2534513
1454	0.2527703
1456	0.252088
1458	0.2514046
1460	0.2507195
1462	0.2500343
1464	0.2493475
1466	0.248658
1468	0.2479652
1470	0.2472708
1472	0.246575
1474	0.2458777
1476	0.2451807
1478	0.2444848
1480	0.2437875
1482	0.2430833
1484	0.2423779
1486	0.2416695
1488	0.2409576
1490	0.2402444
1492	0.2395395
1494	0.238834
1496	0.2381274
1498	0.2374199
1500	0.2367113
1502	0.2359982
1504	0.2352838
1506	0.2345701
1508	0.2338581
1510	0.2331453
1512	0.2324318
1514	0.2317175
1516	0.231003
1518	0.2302887
1520	0.2295737
1522	0.2288559
1524	0.2281374
1526	0.2274196
1528	0.2267033
1530	0.2259865
1532	0.2252637
1534	0.2245404
1536	0.223816
1538	0.22309
1540	0.2223638
1542	0.221643
1544	0.2209219
1546	0.2202023
1548	0.2194849
1550	0.2187674
1552	0.2180462
1554	0.2173244
1556	0.2166027
1558	0.2158809
1560	0.2151591
1562	0.2144409
1564	0.2137232
1566	0.2130056
1568	0.2122881
1570	0.2115707
1572	0.21085
1574	0.210129
1576	0.2094099
1578	0.2086934
1580	0.2079772
1582	0.2072558
1584	0.2065347
1586	0.2058125
1588	0.2050883
1590	0.2043646
1592	0.2036503
1594	0.2029368
1596	0.2022239
1598	0.2015115
1600	0.2007996
1602	0.2000882
1604	0.1993775
1606	0.1986674
1608	0.1979579
1610	0.1972491
1612	0.196541
1614	0.1958335
1616	0.1951268
1618	0.1944209
1620	0.1937157
1622	0.1930113
1624	0.1923078
1626	0.1916051
1628	0.1909032
1630	0.1902023
1632	0.1894971
1634	0.1887929
1636	0.1880913
1638	0.1873929
1640	0.1866955
1642	0.1860008
1644	0.1853068
1646	0.1846138
1648	0.1839219
1650	0.1832311
1652	0.1825448
1654	0.18186
1656	0.1811748
1658	0.1804886
1660	0.1798035
1662	0.1791231
1664	0.1784442
1666	0.1777653
1668	0.1770855
1670	0.1764071
1672	0.1757279
1674	0.1750504
1676	0.174373
1678	0.173695
1680	0.1730183
1682	0.1723511
1684	0.1716855
1686	0.17102
1688	0.1703536
1690	0.1696887
1692	0.1690286
1694	0.1683703
1696	0.1677135
1698	0.1670583
1700	0.1664045
1702	0.165748
1704	0.1650931
1706	0.1644384
1708	0.1637832
1710	0.1631296
1712	0.1624851
1714	0.1618426
1716	0.1612017
1718	0.1605625
1720	0.159925
1722	0.1592892
1724	0.158655
1726	0.1580226
1728	0.1573919
1730	0.1567629
1732	0.1561357
1734	0.1555102
1736	0.1548865
1738	0.1542646
1740	0.1536445
1742	0.1530225
1744	0.1524023
1746	0.1517841
1748	0.1511677
1750	0.1505533
1752	0.1499443
1754	0.1493373
1756	0.1487321
1758	0.1481288
1760	0.1475274
1762	0.146928
1764	0.1463305
1766	0.1457349
1768	0.1451412
1770	0.1445496
1772	0.1439597
1774	0.1433723
1776	0.1427855
1778	0.1421987
1780	0.1416139
1782	0.1410343
1784	0.1404567
1786	0.1398812
1788	0.1393077
1790	0.1387362
1792	0.1381699
1794	0.137606
1796	0.1370427
1798	0.1364795
1800	0.1359184
