Wavelength (nm)	Reflectance
1094	0.1029989
1096	0.1011126
1098	0.0992699
1100	0.0974702
1102	0.0957148
1104	0.0940038
1106	0.0923377
1108	0.090717
1110	0.0891421
1112	0.0876138
1114	0.0861321
1116	0.0846976
1118	0.0833106
1120	0.0819716
1122	0.0806807
1124	0.0794382
1126	0.0782444
1128	0.0770995
1130	0.0760035
1132	0.0749578
1134	0.0739624
1136	0.0730159
1138	0.0721179
1140	0.0712701
1142	0.0704743
1144	0.0697281
1146	0.069031
1148	0.0683829
1150	0.0677836
1152	0.0672331
1154	0.066731
1156	0.0662772
1158	0.0658713
1160	0.0655132
1162	0.0652024
1164	0.0649387
1166	0.0647216
1168	0.0645509
1170	0.064426
1172	0.0643466
1174	0.0643122
1176	0.0643234
1178	0.0643803
1180	0.0644807
1182	0.0646217
1184	0.0648049
1186	0.0650308
1188	0.0652991
1190	0.0656081
1192	0.0659564
1194	0.066344
1196	0.0667714
1198	0.0672381
1200	0.0677424
1202	0.0682955
1204	0.0688855
1206	0.0695112
1208	0.0701717
1210	0.070867
1212	0.0715842
1214	0.0723343
1216	0.0731176
1218	0.0739341
1220	0.0747812
1222	0.0756558
1224	0.0765594
1226	0.0774916
1228	0.0784516
1230	0.0794387
1232	0.0804548
1234	0.0814969
1236	0.082564
1238	0.0836553
1240	0.0847703
1242	0.0859055
1244	0.0870626
1246	0.0882423
1248	0.0894446
1250	0.0906669
1252	0.0919087
1254	0.0931692
1256	0.0944477
1258	0.0957437
1260	0.0970564
1262	0.0983852
1264	0.0997295
1266	0.1010886
1268	0.1024618
1270	0.1038486
1272	0.1052678
1274	0.1066997
1276	0.1081433
1278	0.1095978
1280	0.111063
1282	0.1125191
1284	0.1139844
1286	0.11546
1288	0.1169458
1290	0.1184394
1292	0.1199403
1294	0.121448
1296	0.1229607
1298	0.1244772
1300	0.1259988
1302	0.1275283
1304	0.1290625
1306	0.1306006
1308	0.1321421
1310	0.1336866
1312	0.1352337
1314	0.1367829
1316	0.1383339
1318	0.1398862
1320	0.1414394
1322	0.1429932
1324	0.1445472
1326	0.1461024
1328	0.1476591
1330	0.149215
1332	0.1507664
1334	0.152316
1336	0.1538637
1338	0.1554092
1340	0.1569522
1342	0.1584956
1344	0.1600362
1346	0.161573
1348	0.1631053
1350	0.1646336
1352	0.166175
1354	0.1677117
1356	0.1692445
1358	0.1707737
1360	0.1722975
1362	0.1737984
1364	0.1752937
1366	0.1767833
1368	0.1782669
1370	0.1797444
1372	0.1812155
1374	0.1826802
1376	0.1841381
1378	0.1855891
1380	0.1870331
1382	0.1884699
1384	0.1898993
1386	0.1913213
1388	0.1927356
1390	0.1941422
1392	0.1955444
1394	0.1969388
1396	0.1983236
1398	0.1996979
1400	0.2010639
1402	0.2024213
1404	0.2037703
1406	0.205112
1408	0.2064474
1410	0.207774
1412	0.2091069
1414	0.2104306
1416	0.2117435
1418	0.2130447
1420	0.2143364
1422	0.2156075
1424	0.2168695
1426	0.2181223
1428	0.2193657
1430	0.2205995
1432	0.2218239
1434	0.2230386
1436	0.2242437
1438	0.2254392
1440	0.226625
1442	0.2278011
1444	0.2289675
1446	0.2301241
1448	0.2312708
1450	0.2324078
1452	0.233535
1454	0.2346522
1456	0.2357601
1458	0.2368589
1460	0.2379478
1462	0.2390283
1464	0.2400991
1466	0.2411588
1468	0.2422069
1470	0.2432451
1472	0.2442734
1474	0.2452918
1476	0.246302
1478	0.2473048
1480	0.2482978
1482	0.2492924
1484	0.2502769
1486	0.2512497
1488	0.2522099
1490	0.2531601
1492	0.2540933
1494	0.255017
1496	0.2559311
1498	0.2568354
1500	0.25773
1502	0.2586112
1504	0.2594823
1506	0.2603455
1508	0.2612016
1510	0.2620481
1512	0.2628852
1514	0.2637127
1516	0.2645312
1518	0.265341
1520	0.2661415
1522	0.2669302
1524	0.2677094
