Wavelength (nm)	Reflectance
300	0.394653
301	0.3744701
302	0.3571746
303	0.3432462
304	0.3328836
305	0.326293
306	0.323439
307	0.324194
308	0.3283064
309	0.3354168
310	0.3449567
311	0.3565192
312	0.3696258
313	0.3838268
314	0.3986252
315	0.4136895
316	0.4287548
317	0.4435205
318	0.4578076
319	0.471428
320	0.4842871
321	0.4962022
322	0.507188
323	0.5172498
324	0.5263851
325	0.5345615
326	0.5416877
327	0.5478844
328	0.5531864
329	0.5575767
330	0.5610827
331	0.5637481
332	0.5655662
333	0.566542
334	0.5666969
335	0.5660835
336	0.5647314
337	0.5626056
338	0.5597146
339	0.5560768
340	0.5517375
341	0.5467438
342	0.5410319
343	0.5346436
344	0.5276256
345	0.5199992
346	0.5117819
347	0.5030198
348	0.4937514
349	0.4840149
350	0.4738674
351	0.4633979
352	0.4526889
353	0.4418626
354	0.4309296
355	0.4200106
356	0.4090805
357	0.3982816
358	0.3877229
359	0.3772585
360	0.3671142
361	0.3572644
362	0.3479148
363	0.3391244
364	0.3309578
365	0.3236313
366	0.3171417
367	0.3117265
368	0.307462
369	0.3046116
370	0.3029068
371	0.3026308
372	0.3035201
373	0.3056198
374	0.3086516
375	0.3125878
376	0.3173312
377	0.3226591
378	0.3287163
379	0.3352853
380	0.3422247
381	0.3494317
382	0.3567576
383	0.3641834
384	0.3716953
385	0.3790435
386	0.3864222
387	0.3935288
388	0.4004554
389	0.4071352
390	0.4134609
391	0.4196009
392	0.4253137
393	0.4307509
394	0.4358244
395	0.4404827
396	0.4448911
397	0.4488415
398	0.4524561
399	0.4556882
400	0.4584795
401	0.4609651
402	0.4630111
403	0.4647034
404	0.4660595
405	0.4669922
406	0.4675668
407	0.4677428
408	0.4675401
409	0.4670641
410	0.4661918
411	0.4649833
412	0.4634507
413	0.4615359
414	0.4593436
415	0.4568189
416	0.4539296
417	0.450782
418	0.4472847
419	0.4434519
420	0.4393521
421	0.4349118
422	0.4301623
423	0.425144
424	0.4198013
425	0.4141745
426	0.4083152
427	0.4021607
428	0.3957498
429	0.3890938
430	0.3821684
431	0.3750208
432	0.3676612
433	0.3600668
434	0.3523124
435	0.344416
436	0.3362936
437	0.3279813
438	0.3194898
439	0.3108606
440	0.3021513
441	0.2935011
442	0.284784
443	0.2760299
444	0.2672779
445	0.2585346
446	0.2497897
447	0.2412151
448	0.2327356
449	0.2243807
450	0.216143
451	0.208083
452	0.2002413
453	0.1927066
454	0.1854995
455	0.178593
456	0.1720237
457	0.1658483
458	0.1600485
459	0.1546458
460	0.149698
461	0.1452068
462	0.1411577
463	0.1375699
464	0.1344555
465	0.1318094
466	0.1296355
467	0.1279556
468	0.1267708
469	0.1260766
470	0.1258718
471	0.1261265
472	0.1268251
473	0.127954
474	0.1295903
475	0.1316733
476	0.1341618
477	0.1370172
478	0.1401194
479	0.1435356
480	0.1472432
481	0.1512626
482	0.1555846
483	0.1601376
484	0.164898
485	0.169838
486	0.1749353
487	0.1801694
488	0.1855192
489	0.1909593
490	0.1964737
