Wavelength (nm)	Reflectance
300	0.6112681
302	0.587884
304	0.5617209
306	0.5326899
308	0.5010935
310	0.4674612
312	0.4327483
314	0.3980924
316	0.3650808
318	0.3356146
320	0.3115883
322	0.2945865
324	0.2857361
326	0.2853406
328	0.2928626
330	0.3072106
332	0.3268854
334	0.3500761
336	0.3752491
338	0.4009823
340	0.4262224
342	0.4504385
344	0.4730283
346	0.4938519
348	0.5128198
350	0.52994
352	0.5452386
354	0.5590854
356	0.5713178
358	0.5817135
360	0.5894875
362	0.5939996
364	0.5945971
366	0.5908204
368	0.5827148
370	0.5709311
372	0.5558694
374	0.5378898
376	0.5174677
378	0.4952336
380	0.4718893
382	0.4475455
384	0.422509
386	0.3970071
388	0.3712739
390	0.3456515
392	0.320636
394	0.2964894
396	0.2736382
398	0.2524988
400	0.2334338
402	0.2167761
404	0.2028142
406	0.1916761
408	0.1834353
410	0.178253
412	0.1760239
414	0.1765996
416	0.1797531
418	0.1852503
420	0.1927409
422	0.2019121
424	0.2125001
426	0.2239361
428	0.2359576
430	0.2484452
432	0.2611507
434	0.2738008
436	0.286239
438	0.2985321
440	0.3103834
442	0.321467
444	0.3320121
446	0.3419554
448	0.3510693
450	0.3595039
452	0.3672864
454	0.3742257
456	0.3803669
458	0.385813
460	0.3905152
462	0.394472
464	0.3977001
466	0.400223
468	0.4021711
470	0.4034085
472	0.4039582
474	0.4039076
476	0.4032832
478	0.4019996
480	0.400101
482	0.3976386
484	0.394594
486	0.3910451
488	0.3869529
490	0.3823442
492	0.3772159
494	0.371633
496	0.3655641
498	0.3591087
500	0.3522066
502	0.3448985
504	0.3371856
506	0.3292044
508	0.3208525
510	0.3120646
512	0.3029599
514	0.2936896
516	0.2842324
518	0.2746283
520	0.2648692
522	0.254931
524	0.2449131
526	0.2348879
528	0.2249021
530	0.2149708
532	0.2052007
534	0.1955735
536	0.1861801
538	0.1770159
540	0.1681134
542	0.159565
544	0.1513971
546	0.1436862
548	0.1364279
550	0.1296238
552	0.1233403
554	0.1176541
556	0.1126284
558	0.108188
560	0.1043431
562	0.1011248
564	0.0985454
566	0.0966034
568	0.0952815
570	0.0945925
572	0.094523
574	0.0950465
576	0.0961525
578	0.097805
580	0.0999722
582	0.1025742
584	0.1056234
586	0.1091411
588	0.1130938
590	0.1174077
592	0.1220764
594	0.127047
596	0.1322794
598	0.1377515
600	0.1434203
602	0.149192
604	0.1550898
606	0.1611244
608	0.1672707
610	0.1734771
612	0.1796504
614	0.1858372
616	0.1920811
618	0.1983261
620	0.2045206
622	0.2106104
624	0.2166368
626	0.2225578
628	0.2283767
630	0.2340901
632	0.2396904
634	0.2451648
636	0.2505312
638	0.2557828
640	0.2608774
642	0.2657605
644	0.2704671
646	0.2750357
648	0.279483
650	0.2837683
652	0.2878507
654	0.2917919
656	0.2955759
658	0.299219
660	0.3026864
662	0.305995
664	0.3091377
666	0.3121
668	0.3148928
670	0.3175272
672	0.3200031
674	0.3223214
676	0.3244943
678	0.3265183
680	0.3284074
682	0.33017
684	0.3317905
686	0.3332551
688	0.3345677
690	0.335735
692	0.3367597
694	0.3376437
696	0.3383897
698	0.3389949
700	0.3394653
702	0.3398152
704	0.3400396
706	0.3401398
708	0.3401163
710	0.339953
712	0.3396643
714	0.3392926
716	0.3388177
718	0.3382499
720	0.3375804
722	0.3367879
724	0.3358797
726	0.3348583
728	0.3337253
730	0.332499
732	0.3311953
734	0.3297966
736	0.3283136
