Wavelength (nm)	Reflectance
300	0.6296759
302	0.6149404
304	0.5957163
306	0.5717134
308	0.5429563
310	0.5096729
312	0.4726105
314	0.4329064
316	0.3925607
318	0.3544302
320	0.3218824
322	0.2982309
324	0.2859935
326	0.2861504
328	0.2978502
330	0.3189314
332	0.3464744
334	0.3773347
336	0.4089928
338	0.4394877
340	0.4675882
342	0.4927937
344	0.5146674
346	0.5332679
348	0.5487035
350	0.5611505
352	0.57079
354	0.5780516
356	0.5828311
358	0.5849129
360	0.5834978
362	0.5778812
364	0.5673397
366	0.5513624
368	0.530008
370	0.5040866
372	0.4742339
374	0.4413126
376	0.4065113
378	0.3713052
380	0.3373132
382	0.3055741
384	0.277291
386	0.2534514
388	0.2348067
390	0.2218652
392	0.2148779
394	0.2135534
396	0.2173866
398	0.225629
400	0.2373796
402	0.2517568
404	0.2679103
406	0.2849648
408	0.3022319
410	0.3194797
412	0.3361429
414	0.3518598
416	0.3663938
418	0.3796765
420	0.3915731
422	0.402025
424	0.4110615
426	0.4184903
428	0.4243844
430	0.4288775
432	0.4319924
434	0.4337185
436	0.4341314
438	0.4332516
440	0.4310535
442	0.4276466
444	0.4230545
446	0.4172644
448	0.4103471
450	0.4022839
452	0.3931009
454	0.3829535
456	0.3718359
458	0.3598628
460	0.3470444
462	0.3335572
464	0.3194007
466	0.3046179
468	0.2891611
470	0.2733689
472	0.2576418
474	0.2417523
476	0.2258162
478	0.2104388
480	0.1957344
482	0.1816251
484	0.1683634
486	0.1562707
488	0.1454144
490	0.1359487
492	0.1279652
494	0.1215951
496	0.1168678
498	0.1138599
500	0.1125058
502	0.1127785
504	0.114606
506	0.1178794
508	0.1225085
510	0.1285213
512	0.1356596
514	0.1436659
516	0.152403
518	0.1618246
520	0.1717811
522	0.1821723
524	0.1927856
526	0.2035098
528	0.214281
530	0.224966
532	0.2353984
534	0.2455998
536	0.2555612
538	0.2652233
540	0.2745545
542	0.2834499
544	0.2918949
546	0.2998398
548	0.3073051
550	0.3143979
552	0.3210325
554	0.3271151
556	0.332581
558	0.3375518
560	0.3421365
562	0.3462547
564	0.3498663
566	0.3529549
568	0.3555695
570	0.3577578
572	0.3595056
574	0.3607977
576	0.361659
578	0.3620832
580	0.3620796
582	0.3616622
584	0.3608451
586	0.3596547
588	0.3580857
590	0.3561339
592	0.3538244
594	0.3511522
596	0.3481222
598	0.3447625
600	0.3410648
602	0.3370694
604	0.3327778
606	0.3281664
608	0.3232427
610	0.3180349
612	0.3125949
614	0.306902
616	0.3009724
618	0.2947855
620	0.288377
622	0.2817505
624	0.2749394
626	0.2679862
628	0.2609267
630	0.2537346
632	0.2464286
634	0.2390335
636	0.2315356
638	0.2239553
640	0.2163384
642	0.2087649
644	0.201194
646	0.1936289
648	0.1861064
650	0.1786756
652	0.1714153
654	0.1643005
656	0.1573439
658	0.1505839
660	0.1440135
662	0.1375973
664	0.13143
666	0.1255524
668	0.1199868
670	0.1147264
672	0.1097888
674	0.1051876
676	0.1009469
678	0.0970707
680	0.0935769
682	0.0904573
684	0.0877406
686	0.0854251
688	0.0835083
690	0.0819858
692	0.0808566
694	0.0801174
696	0.0797643
698	0.0797879
700	0.0801827
702	0.0809477
704	0.0820672
706	0.0835283
708	0.0853169
710	0.0874069
712	0.0897914
714	0.0924822
716	0.0954483
718	0.0986801
720	0.102153
722	0.1058602
724	0.109763
726	0.1138454
728	0.1180899
730	0.1224903
732	0.127006
734	0.131641
736	0.1363899
738	0.1412245
740	0.146105
