Wavelength (nm)	Reflectance
300	0.551646
302	0.5096083
304	0.464898
306	0.4195348
308	0.3766792
310	0.3400994
312	0.3135967
314	0.299793
316	0.2995762
318	0.3118738
320	0.3339333
322	0.3620539
324	0.3931584
326	0.4243935
328	0.4538755
330	0.4805528
332	0.5038372
334	0.5233719
336	0.5392306
338	0.5514698
340	0.5602542
342	0.5659224
344	0.5685496
346	0.5684053
348	0.5656583
350	0.560453
352	0.5529714
354	0.5434924
356	0.5318607
358	0.5178201
360	0.5005984
362	0.4796568
364	0.4546959
366	0.4259491
368	0.3945579
370	0.3626623
372	0.3321585
374	0.3049404
376	0.2826301
378	0.2664276
380	0.2570401
382	0.2540179
384	0.2567845
386	0.2643845
388	0.2757276
390	0.2897443
392	0.3055444
394	0.3222369
396	0.3391041
398	0.3555757
400	0.3712075
402	0.3857471
404	0.398995
406	0.4107291
408	0.4208554
410	0.4295933
412	0.4368024
414	0.4424686
416	0.446626
418	0.4493705
420	0.4506717
422	0.4505593
424	0.4491162
426	0.4462877
428	0.4421305
430	0.4367255
432	0.4301088
434	0.4222903
436	0.4133586
438	0.4032128
440	0.3919275
442	0.3797994
444	0.3667098
446	0.3526788
448	0.3379417
450	0.3224463
452	0.3062886
454	0.2898374
456	0.2731485
458	0.2564336
460	0.2398246
462	0.2236267
464	0.2079359
466	0.1929025
468	0.1785958
470	0.1654524
472	0.1538294
474	0.1436004
476	0.1349409
478	0.1281587
480	0.1232156
482	0.1200796
484	0.1187702
486	0.1192747
488	0.1214647
490	0.1252258
492	0.1304182
494	0.1369543
496	0.1446148
498	0.1532354
500	0.1626391
502	0.1726764
504	0.1831742
506	0.1938947
508	0.2048323
510	0.2160928
512	0.2273182
514	0.2382648
516	0.2489095
518	0.2593111
520	0.2693948
522	0.2791292
524	0.2883943
526	0.2971756
528	0.3054911
530	0.3132773
532	0.3204577
534	0.3271016
536	0.3332529
538	0.3388912
540	0.3440261
542	0.3486217
544	0.3526809
546	0.3561983
548	0.3592
550	0.3617706
552	0.3638635
554	0.3654393
556	0.3664904
558	0.3670783
560	0.3672705
562	0.3670247
564	0.3663286
566	0.3651909
568	0.3636327
570	0.3616854
572	0.3593445
574	0.3566067
576	0.3535062
578	0.3500301
580	0.3461977
582	0.3420615
584	0.3375919
586	0.3327951
588	0.3276729
590	0.3222443
592	0.3165315
594	0.3105396
596	0.3042807
598	0.2977894
600	0.2910628
602	0.2841703
