Wavelength (nm)	Reflectance
300	0.4672185
302	0.4188828
304	0.3752912
306	0.3404535
308	0.3179605
310	0.3097464
312	0.3154682
314	0.3328032
316	0.3582322
318	0.3881651
320	0.4194157
322	0.4494208
324	0.4769535
326	0.5010343
328	0.5213115
330	0.5377873
332	0.5505629
334	0.5596858
336	0.5654351
338	0.5679173
340	0.5672761
342	0.5637834
344	0.557463
346	0.548533
348	0.5371409
350	0.5234471
352	0.5077367
354	0.4903959
356	0.4714832
358	0.4510549
360	0.4287858
362	0.4047683
364	0.3794883
366	0.3539654
368	0.3299032
370	0.3095161
372	0.2942161
374	0.2847461
376	0.2811686
378	0.283143
380	0.2901443
382	0.3008596
384	0.3142924
386	0.3294025
388	0.3452864
390	0.3612298
392	0.3767852
394	0.391513
396	0.4051121
398	0.4173764
400	0.4281605
402	0.4374449
404	0.4451978
406	0.4513295
408	0.455834
410	0.4589497
412	0.4605906
414	0.460776
416	0.45956
418	0.4570298
420	0.4531402
422	0.4479181
424	0.4414426
426	0.4337081
428	0.4247564
430	0.4146472
432	0.4034341
434	0.3911554
436	0.3779318
438	0.363635
440	0.3484247
442	0.3327153
444	0.316371
446	0.2994779
448	0.2823822
450	0.2650691
452	0.2477154
454	0.2307875
456	0.2143916
458	0.1987862
460	0.1841413
462	0.1707519
464	0.1587158
466	0.1481665
468	0.1392024
470	0.132087
472	0.1269472
474	0.1236987
476	0.1224259
478	0.1230248
480	0.1253224
482	0.1293095
484	0.1348222
486	0.1416683
488	0.1496548
490	0.1585929
492	0.1683065
494	0.1786942
496	0.189521
498	0.2006297
500	0.2118844
502	0.2231801
504	0.2343829
506	0.2453024
508	0.2559949
510	0.2666106
512	0.2768368
514	0.2864934
516	0.2956068
518	0.3042733
520	0.3124486
522	0.320121
524	0.3272154
526	0.3337471
528	0.3397525
530	0.345185
532	0.3499988
534	0.3542604
536	0.3580223
538	0.3612673
540	0.3640099
542	0.3662366
544	0.3679477
546	0.3691501
548	0.3698623
550	0.3701482
552	0.3699761
554	0.3693291
556	0.3682238
558	0.3666866
560	0.3647609
562	0.362422
564	0.3596704
566	0.3565261
568	0.352996
570	0.3491034
572	0.3448492
574	0.340237
576	0.3353065
578	0.3300436
580	0.3244738
582	0.3186685
584	0.3125807
586	0.3062101
588	0.2995648
590	0.2926769
592	0.28557
594	0.2782572
596	0.2707565
598	0.2631084
600	0.2553157
602	0.2474597
604	0.2395309
606	0.2315005
608	0.2233934
610	0.2152642
612	0.2071978
614	0.1991671
616	0.1911933
618	0.1832805
620	0.1754859
622	0.1678327
624	0.1603578
626	0.1531135
628	0.1461393
630	0.139422
632	0.1329872
634	0.1268639
636	0.1210528
638	0.11558
640	0.1104798
642	0.1057939
644	0.1014999
646	0.0976099
648	0.094152
650	0.0911397
652	0.0885845
654	0.0864853
656	0.0848336
658	0.0836407
660	0.0828779
662	0.0825429
664	0.0826409
666	0.0831505
668	0.0840596
670	0.0853605
672	0.087037
674	0.0890724
676	0.0914566
678	0.0941677
680	0.0971964
682	0.1005606
684	0.1042003
686	0.1080651
688	0.1121316
690	0.1164
692	0.1208511
694	0.1254659
696	0.1302256
698	0.135107
700	0.140095
702	0.1451817
704	0.1503447
706	0.1555662
708	0.1608304
710	0.166109
712	0.1713974
714	0.1767152
716	0.1820327
718	0.1873477
720	0.1926398
722	0.1979103
724	0.2031224
726	0.2082693
728	0.2133427
730	0.2183484
732	0.2232581
734	0.2280852
736	0.2328359
738	0.2374902
740	0.2420145
742	0.2464346
744	0.2507407
746	0.2549349
748	0.2590109
750	0.2629677
752	0.2668182
754	0.2705745
756	0.2742119
758	0.27775
760	0.2811676
762	0.2844541
764	0.2876244
766	0.2906799
768	0.2936251
770	0.296451
772	0.2991378
774	0.3017036
776	0.3041352
778	0.3064364
780	0.3086233
782	0.3107166
784	0.3126942
786	0.3145536
788	0.3162976
790	0.3179313
792	0.3194656
794	0.3208899
796	0.3221912
798	0.3233766
800	0.3244542
802	0.3254066
804	0.3262551
806	0.3270269
808	0.3277265
810	0.3283264
812	0.3288585
814	0.3293016
816	0.3296431
818	0.3298571
820	0.3299792
822	0.3300015
824	0.3299223
826	0.329754
828	0.3295085
830	0.3291803
832	0.3287687
834	0.3282742
836	0.3276982
838	0.3270419
840	0.3263066
842	0.3254895
844	0.324595
846	0.3236244
848	0.3225789
850	0.3214599
852	0.3202685
854	0.3190062
856	0.317674
858	0.3162732
860	0.3148052
862	0.3132793
864	0.3116893
866	0.3100366
868	0.3083224
870	0.306548
872	0.3047047
874	0.302803
876	0.3008442
878	0.2988295
880	0.2967604
882	0.2946494
884	0.2924871
886	0.2902849
888	0.2880741
890	0.2858158
892	0.2835113
894	0.2811618
896	0.2787689
898	0.2763337
900	0.2738578
902	0.2713283
904	0.2687603
906	0.2661552
908	0.2635144
910	0.2608393
912	0.2581465
914	0.2554227
916	0.2526695
918	0.2498881
920	0.2470801
922	0.2442313
924	0.2413586
926	0.2384636
928	0.2355479
930	0.2326129
932	0.2296767
934	0.2267244
936	0.2237578
938	0.2207783
940	0.2177877
942	0.2147874
944	0.2117791
946	0.2087642
948	0.2057447
950	0.2027217
952	0.1996807
954	0.1966425
956	0.1936227
958	0.1906059
960	0.1875938
962	0.1846043
964	0.1816225
966	0.1786502
968	0.1756889
970	0.1727401
972	0.1698056
974	0.1668867
976	0.1639851
978	0.1611022
980	0.1582397
982	0.1553843
984	0.1525527
986	0.1497464
988	0.1469667
990	0.1442152
992	0.1415069
994	0.1388292
996	0.1361834
998	0.1335709
1000	0.1309929
1002	0.1284635
1004	0.1259709
1006	0.1235166
1008	0.1211017
1010	0.1187273
1012	0.1163946
1014	0.1141046
1016	0.1118585
1018	0.1096574
1020	0.1075019
1022	0.1053843
1024	0.1033152
1026	0.1012953
1028	0.0993256
1030	0.0974068
1032	0.0955468
1034	0.0937384
1036	0.0919822
1038	0.090279
1040	0.0886291
1042	0.0870333
1044	0.0854919
1046	0.0840054
1048	0.0825741
1050	0.0811985
1052	0.0798481
1054	0.0785507
1056	0.077328
1058	0.0761888
1060	0.0751062
1062	0.0740802
1064	0.073111
1066	0.0721985
1068	0.0713427
1070	0.0705434
1072	0.0698021
1074	0.069118
1076	0.0684908
1078	0.0679204
1080	0.0674065
1082	0.0669451
1084	0.0665387
1086	0.0661879
1088	0.065893
1090	0.0656517
1092	0.0654618
1094	0.0653245
1096	0.06524
1098	0.0652082
1100	0.0652275
1102	0.0652978
1104	0.0654179
1106	0.0655873
1108	0.0658052
1110	0.0660709
1112	0.0663837
1114	0.0667429
1116	0.0671477
1118	0.0675974
1120	0.0680911
1122	0.0686281
1124	0.0692076
1126	0.0698287
1128	0.0704906
1130	0.0711925
1132	0.0719485
1134	0.0727436
1136	0.0735755
1138	0.0744429
1140	0.0753463
