Wavelength (nm)	Reflectance
300	0.6068962
302	0.5784359
304	0.5454165
306	0.5080416
308	0.4672548
310	0.4246975
312	0.383017
314	0.345385
316	0.3154243
318	0.2963773
320	0.2901076
322	0.2964461
324	0.3137294
326	0.3388883
328	0.3686164
330	0.4000949
332	0.4310991
334	0.4599689
336	0.4858589
338	0.508268
340	0.5270568
342	0.5424432
344	0.5544549
346	0.563388
348	0.5694582
350	0.5728635
352	0.5737953
354	0.57259
356	0.5690886
358	0.563004
360	0.5534747
362	0.5397583
364	0.521175
366	0.4973807
368	0.4687685
370	0.4366744
372	0.4023393
374	0.3673281
376	0.3334531
378	0.3025991
380	0.2765037
382	0.2559624
384	0.2416137
386	0.2335776
388	0.2315579
390	0.2349614
392	0.2430495
394	0.2548088
396	0.2692492
398	0.2854255
400	0.302485
402	0.3197786
404	0.3367706
406	0.3529452
408	0.3679749
410	0.3819353
412	0.39454
414	0.4056664
416	0.4152721
418	0.42342
420	0.4300664
422	0.435226
424	0.4389768
426	0.4412117
428	0.4420064
430	0.4414738
432	0.4396461
434	0.4365227
436	0.4321824
438	0.42658
440	0.419733
442	0.4118383
444	0.4028356
446	0.3927157
448	0.3816203
450	0.3694983
452	0.3563941
454	0.3425616
456	0.3280116
458	0.3128965
460	0.2972793
462	0.2814052
464	0.2653191
466	0.2491209
468	0.2328131
470	0.2168312
472	0.2016112
474	0.1869707
476	0.1730881
478	0.1605234
480	0.1493537
482	0.139535
484	0.1312552
486	0.1247104
488	0.1198876
490	0.1168177
492	0.115475
494	0.1158689
496	0.1178842
498	0.1214433
500	0.126392
502	0.1326023
504	0.1399144
506	0.1481063
508	0.1571097
510	0.1669779
512	0.1773578
514	0.1879644
516	0.1987092
518	0.2095948
520	0.2205042
522	0.2313719
524	0.2420256
526	0.2524053
528	0.262494
530	0.2721986
532	0.281401
534	0.2901573
536	0.2984916
538	0.3063707
540	0.3137899
542	0.3206835
544	0.3270511
546	0.3328694
548	0.3381668
550	0.3430437
552	0.3474366
554	0.3512808
556	0.3545426
558	0.3573164
560	0.3596927
562	0.3616111
564	0.3630464
566	0.3639954
568	0.3644941
570	0.3645827
572	0.3642519
574	0.3634925
576	0.3623342
578	0.3607671
580	0.3588053
582	0.3564823
584	0.3537894
586	0.3507419
588	0.3473376
590	0.3435832
592	0.3395018
594	0.3350926
596	0.3303632
598	0.3253443
600	0.3200291
602	0.314473
604	0.3086702
606	0.3025919
608	0.2962495
610	0.2896802
612	0.28295
614	0.2760317
616	0.2689406
618	0.2616635
620	0.2542457
622	0.2466986
624	0.2390566
626	0.2313697
628	0.223677
630	0.2159563
632	0.208231
634	0.200531
636	0.1928474
638	0.1852063
640	0.1776577
642	0.1702802
644	0.163038
646	0.1559386
648	0.1490211
650	0.1423322
652	0.1359395
654	0.1298243
656	0.1239978
658	0.1184939
660	0.1133037
662	0.1084034
664	0.1038662
666	0.0997169
668	0.0959681
670	0.0926132
672	0.0896602
674	0.0871133
676	0.084985
678	0.0832702
680	0.0819766
682	0.0811051
684	0.0806515
686	0.0805941
688	0.0809195
690	0.0816225
692	0.0826924
694	0.0841167
696	0.0858823
698	0.0879709
700	0.0903695
702	0.0930703
704	0.0960513
706	0.0992938
708	0.1027792
710	0.1064772
712	0.110378
714	0.1144924
716	0.118787
718	0.1232521
720	0.1278622
722	0.1326134
724	0.137463
726	0.1423966
728	0.1473982
730	0.1524644
732	0.1575556
734	0.1626807
736	0.1678381
738	0.1730016
740	0.1781329
742	0.1832483
744	0.1883318
746	0.193379
748	0.1983778
750	0.2033214
752	0.2082161
754	0.213068
756	0.217849
758	0.222572
760	0.2272135
762	0.2317505
764	0.236202
766	0.2405655
768	0.2448422
770	0.2490202
772	0.2530863
774	0.2570466
776	0.2608858
778	0.2646055
780	0.2682185
782	0.271743
784	0.275156
786	0.2784537
788	0.2816372
790	0.2847101
792	0.2876817
794	0.2905405
796	0.2932726
798	0.295884
800	0.2983822
802	0.3007494
804	0.3030057
806	0.3051769
808	0.3072675
810	0.3092497
812	0.3111464
814	0.3129445
816	0.3146315
818	0.3161813
820	0.3176289
822	0.3189737
824	0.3202062
826	0.3213386
828	0.3223823
830	0.3233319
832	0.3241794
834	0.3249324
836	0.3255924
838	0.3261603
840	0.3266374
842	0.3270279
844	0.3273289
846	0.3275416
848	0.3276673
850	0.3277072
852	0.3276624
854	0.3275342
856	0.3273237
858	0.3270322
860	0.3266607
862	0.3262125
864	0.3256876
866	0.3250873
868	0.3244126
870	0.3236647
872	0.3228407
874	0.3219449
876	0.3209784
878	0.3199426
880	0.3188384
882	0.3176732
884	0.3164427
886	0.3151584
888	0.3138519
890	0.3124835
892	0.3110543
894	0.3095654
896	0.308018
898	0.3064131
900	0.304752
902	0.3030259
904	0.301245
906	0.2994107
908	0.297524
910	0.295586
912	0.2936093
914	0.2915844
916	0.2895123
918	0.2873943
920	0.2852315
922	0.2830124
924	0.2807504
926	0.2784468
928	0.2761027
930	0.2737195
932	0.2713122
934	0.2688687
936	0.2663901
938	0.2638778
940	0.2613331
942	0.2587572
944	0.2561514
946	0.253517
948	0.2508554
950	0.2481678
952	0.24544
954	0.2426917
956	0.2399392
958	0.2371656
960	0.2343725
962	0.2315774
964	0.2287658
966	0.2259391
968	0.2230987
970	0.2202459
972	0.2173822
974	0.214509
976	0.2116278
978	0.2087399
980	0.2058468
982	0.2029335
984	0.2000179
986	0.1971016
988	0.1941858
990	0.1912722
992	0.1883785
994	0.1854896
996	0.1826072
998	0.1797325
1000	0.1768671
1002	0.1740263
1004	0.1711975
1006	0.168382
1008	0.1655812
1010	0.1627967
1012	0.1600296
1014	0.1572815
1016	0.1545537
1018	0.1518476
1020	0.1491642
1022	0.1464911
1024	0.1438439
1026	0.141224
1028	0.1386326
1030	0.1360711
1032	0.1335535
1034	0.1310677
1036	0.1286148
1038	0.126196
1040	0.1238123
1042	0.1214649
1044	0.1191547
1046	0.116883
1048	0.1146505
1050	0.1124585
1052	0.110274
1054	0.1081283
1056	0.1060457
1058	0.1040366
1060	0.102072
1062	0.1001527
1064	0.0982794
1066	0.0964528
1068	0.0946736
1070	0.0929425
1072	0.0912537
1074	0.0896148
1076	0.0880264
1078	0.086489
1080	0.0850029
1082	0.0835729
1084	0.0821941
1086	0.0808681
1088	0.0795958
1090	0.0783756
1092	0.0772058
1094	0.0760882
1096	0.075024
1098	0.0740136
1100	0.073056
1102	0.0721517
1104	0.0713003
1106	0.0705016
1108	0.0697557
1110	0.0690622
1112	0.0684212
1114	0.0678324
1116	0.0672956
1118	0.0668105
1120	0.0663768
1122	0.0659943
1124	0.0656626
1126	0.0653814
1128	0.0651502
1130	0.0649685
1132	0.0648445
1134	0.0647701
1136	0.0647436
1138	0.0647639
1140	0.064832
1142	0.064942
1144	0.0650981
1146	0.0652996
1148	0.0655458
1150	0.0658361
1152	0.0661698
1154	0.0665462
1156	0.0669647
1158	0.0674246
1160	0.0679251
1162	0.0684655
1164	0.0690451
1166	0.0696632
1168	0.0703189
1170	0.0710116
1172	0.0717404
1174	0.0725046
1176	0.0733046
1178	0.07414
1180	0.0750085
1182	0.0759068
1184	0.0768362
1186	0.0777971
1188	0.078789
1190	0.0798101
1192	0.0808584
1194	0.0819341
1196	0.0830373
1198	0.0841677
1200	0.0853232
1202	0.0865195
1204	0.0877399
1206	0.0889828
1208	0.0902475
1210	0.0915338
1212	0.0928246
1214	0.0941353
1216	0.0954663
1218	0.0968173
1220	0.098186
1222	0.0995688
1224	0.1009674
1226	0.1023815
1228	0.1038103
1230	0.1052532
1232	0.1067124
1234	0.1081845
1236	0.1096688
1238	0.1111645
