Wavelength (nm)	Reflectance
300	0.6281165
301	0.621696
302	0.6136742
303	0.6040543
304	0.59272
305	0.5796771
306	0.5649361
307	0.5484965
308	0.5304188
309	0.5108051
310	0.4897298
311	0.4675674
312	0.4445099
313	0.4209921
314	0.3974918
315	0.3746287
316	0.3530865
317	0.3335929
318	0.3168934
319	0.3036069
320	0.294274
321	0.2891873
322	0.2884431
323	0.2919625
324	0.29946
325	0.310408
326	0.3240524
327	0.3398717
328	0.357238
329	0.375507
330	0.394148
331	0.41273
332	0.4308508
333	0.4482054
334	0.4645862
335	0.4798878
336	0.4939538
337	0.5067637
338	0.5182797
339	0.5284895
340	0.5374519
341	0.5452346
342	0.5517749
343	0.5571361
344	0.561381
345	0.5645425
346	0.5666438
347	0.5677299
348	0.5678284
349	0.5669588
350	0.565154
351	0.5624281
352	0.5588499
353	0.554471
354	0.549237
355	0.5431741
356	0.5361851
357	0.5282912
358	0.5194809
359	0.509504
360	0.4984434
361	0.486158
362	0.4727314
363	0.4581474
364	0.442438
365	0.4258298
366	0.4084816
367	0.3907376
368	0.3729775
369	0.355775
370	0.3392038
371	0.3239571
372	0.3101307
373	0.2982145
374	0.2882732
375	0.2805381
376	0.2751501
377	0.2719544
378	0.2711545
379	0.2724917
380	0.2757565
381	0.2807319
382	0.2871101
383	0.2947225
384	0.3033973
385	0.3127111
386	0.3227089
387	0.332941
388	0.3433692
389	0.3538108
390	0.3640593
391	0.3741947
392	0.3839071
393	0.393289
394	0.4022049
395	0.4105655
396	0.4185043
397	0.4257943
398	0.4325377
399	0.4386781
400	0.4441517
401	0.4490793
402	0.4533359
403	0.4570057
404	0.4601071
405	0.4625559
406	0.464417
407	0.4656556
408	0.466295
409	0.4664442
410	0.4659813
411	0.4649692
412	0.4634225
413	0.4612857
414	0.4586669
415	0.4555139
416	0.4517967
417	0.4476248
418	0.4429093
419	0.4376671
420	0.4319689
421	0.4257466
422	0.419036
423	0.4118825
424	0.4042387
425	0.396157
426	0.3877161
427	0.3788467
428	0.3696003
429	0.3600033
430	0.3500501
431	0.3398081
432	0.3293102
433	0.3185593
434	0.3076627
435	0.2966685
436	0.2855054
437	0.2742576
438	0.2629757
439	0.2517497
440	0.2406805
441	0.2299681
442	0.2195026
443	0.2093559
444	0.1996099
445	0.1903124
446	0.181492
447	0.1733337
448	0.1658051
449	0.1589582
450	0.152834
451	0.1474897
452	0.1429619
453	0.1393042
454	0.1365186
455	0.1345818
456	0.1335013
457	0.133295
458	0.1339078
459	0.1353144
460	0.1375124
461	0.1404079
462	0.1439747
463	0.1481671
464	0.1529346
465	0.1582229
466	0.1640269
467	0.1703643
468	0.1770874
469	0.1841291
470	0.1914096
471	0.1987995
472	0.206343
473	0.2139942
474	0.2219085
475	0.2299065
476	0.2378962
477	0.2458078
478	0.2534501
479	0.2609848
480	0.2683862
481	0.2756871
482	0.2828756
483	0.2898683
484	0.2966492
485	0.3032025
486	0.3095194
487	0.3155913
488	0.3214103
489	0.3269677
490	0.3322607
491	0.3372852
492	0.3420389
493	0.3465554
494	0.3507964
495	0.354761
496	0.3584502
497	0.3618775
498	0.3650315
499	0.3679133
500	0.3705273
501	0.3728842
502	0.3749753
503	0.3768028
504	0.3783687
505	0.379669
506	0.380728
507	0.3815354
508	0.3820938
509	0.3824433
510	0.3825471
511	0.382403
512	0.3820139
513	0.3813853
514	0.3805226
515	0.3794282
516	0.378112
517	0.37659
518	0.3748703
519	0.3729319
520	0.3707779
521	0.3683968
522	0.3658014
523	0.3629977
524	0.3599893
525	0.3567799
526	0.3534087
527	0.3498528
528	0.3461083
529	0.3421795
530	0.3380737
531	0.3338082
532	0.3293746
533	0.3247782
534	0.3200243
535	0.3151435
536	0.3101015
537	0.304919
538	0.299603
539	0.2941605
540	0.2885808
541	0.2829243
542	0.2771644
543	0.2713099
544	0.2653758
545	0.2593857
546	0.2533303
547	0.2472198
548	0.2410649
549	0.2348603
550	0.2286105
551	0.2223495
552	0.2160896
553	0.2098439
554	0.2036768
555	0.1975975
556	0.1915714
557	0.1856109
558	0.1797295
559	0.1739189
560	0.1681961
561	0.1625935
562	0.1571248
563	0.1518033
564	0.1466565
565	0.1416987
566	0.1369236
567	0.1323429
568	0.1279676
569	0.1238068
570	0.1198696
571	0.1161698
572	0.1127164
573	0.1095168
574	0.1065784
575	0.103918
576	0.1015289
577	0.0994157
578	0.0975814
579	0.0960284
