n anno mese giorno hum_int time RH_raw RH_true temp_int temp_corr
0 2022 12 15 44635.00 0.821545 1812 55.34 6237 22.77
1 2022 12 15 44635.40 1.221545 1812 58.87 6238 22.78
2 2022 12 15 44635.40 2.042580 1812 58.87 6237 22.77
3 2022 12 15 44635.80 2.442580 1812 58.87 6238 22.78
4 2022 12 15 44636.40 2.862965 1813 58.90 6236 22.76
5 2022 12 15 44636.80 3.262965 1813 58.90 6237 22.77
6 2022 12 15 44637.00 3.283783 1813 58.90 6238 22.78
7 2022 12 15 44637.40 3.683783 1812 58.87 6237 22.77
8 2022 12 15 44638.00 4.104378 1812 58.87 6237 22.77
9 2022 12 15 44638.40 4.504378 1813 58.90 6237 22.77
10 2022 12 15 44638.80 4.904378 1812 58.87 6238 22.78
11 2022 12 15 44639.40 5.325145 1812 58.87 6238 22.78
12 2022 12 15 44639.80 5.725145 1813 58.90 6237 22.77
13 2022 12 15 44639.40 6.145466 1813 58.90 6238 22.78
14 2022 12 15 44639.80 6.545466 1813 58.90 6238 22.78
15 2022 12 15 44640.40 6.965820 1813 58.90 6238 22.78
16 2022 12 15 44640.80 7.365820 1813 58.90 6237 22.77
17 2022 12 15 44641.40 7.786203 1813 58.90 6237 22.77
18 2022 12 15 44641.80 8.186203 1813 58.90 6236 22.76
19 2022 12 15 44642.40 8.606577 1813 58.90 6237 22.77
20 2022 12 15 44642.80 9.006577 1813 58.90 6236 22.76
21 2022 12 15 44643.00 9.027002 1813 58.90 6236 22.76
22 2022 12 15 44643.40 9.427002 1813 58.90 6238 22.78
23 2022 12 15 44644.00 9.847394 1813 58.90 6236 22.76
24 2022 12 15 44644.40 10.247394 1813 58.90 6237 22.77
25 2022 12 15 44644.80 10.647394 1813 58.90 6237 22.77
26 2022 12 15 44644.40 11.067866 1813 58.90 6238 22.78
27 2022 12 15 44644.80 11.467866 1813 58.90 6237 22.77
28 2022 12 15 44645.40 11.888318 1813 58.90 6238 22.78
29 2022 12 15 44645.80 12.288318 1813 58.90 6237 22.77
30 2022 12 15 44646.40 12.708867 1813 58.90 6237 22.77
31 2022 12 15 44646.80 13.108867 1813 58.90 6236 22.76
32 2022 12 15 44647.40 13.529215 1813 58.90 6236 22.76
33 2022 12 15 44647.80 13.929215 1813 58.90 6238 22.78
34 2022 12 15 44648.40 14.349689 1812 58.87 6238 22.78
35 2022 12 15 44648.80 14.749689 1813 58.90 6238 22.78
36 2022 12 15 44648.00 14.770125 1813 58.90 6238 22.78
37 2022 12 15 44648.40 15.170125 1812 58.87 6237 22.77
38 2022 12 15 44649.00 15.590389 1813 58.90 6238 22.78
39 2022 12 15 44649.40 15.990389 1813 58.90 6238 22.78
40 2022 12 15 44649.80 16.390389 1813 58.90 6237 22.77
41 2022 12 15 44650.40 16.810702 1812 58.87 6238 22.78
42 2022 12 15 44650.80 17.210702 1813 58.90 6237 22.77
43 2022 12 15 44651.40 17.630994 1813 58.90 6238 22.78
44 2022 12 15 44651.80 18.030994 1813 58.90 6237 22.77
45 2022 12 15 44652.40 18.451265 1813 58.90 6237 22.77
46 2022 12 15 44652.80 18.851265 1812 58.87 6237 22.77
47 2022 12 15 44653.40 19.271523 1812 58.87 6238 22.78
48 2022 12 15 44653.80 19.671523 1813 58.90 6237 22.77
49 2022 12 15 44653.40 20.091776 1812 58.87 6238 22.78
50 2022 12 15 44653.80 20.491776 1813 58.90 6238 22.78
51 2022 12 15 44654.00 20.512260 1813 58.90 6238 22.78
52 2022 12 15 44654.40 20.912260 1813 58.90 6236 22.76
53 2022 12 15 44654.80 21.312260 1813 58.90 6237 22.77
54 2022 12 15 44655.40 21.732828 1813 58.90 6237 22.77
55 2022 12 15 44655.80 22.132828 1813 58.90 6238 22.78
56 2022 12 15 44656.40 22.553257 1812 58.87 6237 22.77
57 2022 12 15 44656.80 22.953257 1813 58.90 6238 22.78
58 2022 12 15 44657.40 23.373704 1813 58.90 6237 22.77
59 2022 12 15 44657.80 23.773704 1813 58.90 6237 22.77
60 2022 12 15 44657.40 24.194188 1813 58.90 6237 22.77
61 2022 12 15 44657.80 24.594188 1813 58.90 6238 22.78
62 2022 12 15 44658.40 25.014741 1813 58.90 6238 22.78
