n anno mese giorno hum_int hum_corrected RH_raw RH_true temp_int temp_corr
95 2022 12 21 29187.40 37.237840 1504 49.13 6143 21.83
96 2022 12 21 29187.40 37.638374 1505 49.16 6144 21.84
97 2022 12 21 29188.00 37.638587 1504 49.13 6142 21.82
98 2022 12 21 29188.00 38.039128 1504 49.13 6142 21.82
99 2022 12 21 29189.00 38.439726 1504 49.13 6142 21.82
100 2022 12 21 29189.00 38.840146 1505 49.16 6142 21.82
101 2022 12 21 29189.00 39.240393 1505 49.16 6143 21.83
102 2022 12 21 29190.00 39.640989 1504 49.13 6141 21.81
103 2022 12 21 29190.00 40.041542 1505 49.16 6142 21.82
104 2022 12 21 29190.40 40.441542 1505 49.16 6142 21.82
105 2022 12 21 29191.40 40.842124 1505 49.16 6142 21.82
106 2022 12 21 29191.40 41.242695 1505 49.16 6142 21.82
107 2022 12 21 29191.40 41.642937 1505 49.16 6143 21.83
108 2022 12 21 29192.40 42.043469 1506 49.19 6142 21.82
109 2022 12 21 29192.40 42.444076 1505 49.16 6142 21.82
110 2022 12 21 29193.40 42.844598 1506 49.19 6142 21.82
111 2022 12 21 29193.40 43.245078 1506 49.19 6142 21.82
112 2022 12 21 29193.40 43.645284 1506 49.19 6141 21.81
113 2022 12 21 29194.40 44.045842 1506 49.19 6142 21.82
114 2022 12 21 29194.40 44.446334 1506 49.19 6142 21.82
115 2022 12 21 29195.40 44.846976 1506 49.19 6142 21.82
116 2022 12 21 29195.40 45.247145 1506 49.19 6142 21.82
117 2022 12 21 29195.40 45.647374 1506 49.19 6142 21.82
118 2022 12 21 29196.40 46.047597 1506 49.19 6142 21.82
119 2022 12 21 29196.00 46.048007 1506 49.19 6141 21.81
120 2022 12 21 29197.00 46.448388 1506 49.19 6142 21.82
121 2022 12 21 29197.00 46.848605 1507 49.22 6142 21.82
122 2022 12 21 29197.00 47.249060 1506 49.19 6142 21.82
123 2022 12 21 29198.00 47.649281 1507 49.22 6143 21.83
124 2022 12 21 29198.00 48.049496 1506 49.19 6142 21.82
125 2022 12 21 29198.40 48.449496 1506 49.19 6143 21.83
126 2022 12 21 29199.40 48.849755 1506 49.19 6143 21.83
127 2022 12 21 29199.40 49.249905 1506 49.19 6143 21.83
128 2022 12 21 29199.40 49.650381 1507 49.22 6144 21.84
129 2022 12 21 29200.40 50.050619 1506 49.19 6143 21.83
130 2022 12 21 29200.40 50.450769 1506 49.19 6143 21.83
131 2022 12 21 29201.40 50.851266 1506 49.19 6144 21.84
132 2022 12 21 29201.40 51.251781 1506 49.19 6144 21.84
133 2022 12 21 29201.40 51.652046 1506 49.19 6144 21.84
134 2022 12 21 29202.40 52.052456 1506 49.19 6144 21.84
135 2022 12 21 29202.40 52.452899 1506 49.19 6144 21.84
136 2022 12 21 29203.40 52.853381 1506 49.19 6144 21.84
137 2022 12 21 29203.40 53.253616 1506 49.19 6144 21.84
138 2022 12 21 29203.40 53.653925 1506 49.19 6144 21.84
139 2022 12 21 29204.40 54.054282 1505 49.16 6144 21.84
140 2022 12 21 29204.40 54.454608 1506 49.19 6144 21.84
141 2022 12 21 29205.00 54.455201 1506 49.19 6143 21.83
142 2022 12 21 29205.00 54.855629 1505 49.16 6144 21.84
143 2022 12 21 29205.00 55.255800 1506 49.19 6144 21.84
144 2022 12 21 29206.00 55.656120 1505 49.16 6144 21.84
145 2022 12 21 29206.00 56.056765 1505 49.16 6145 21.85
146 2022 12 21 29207.00 56.457377 1505 49.16 6145 21.85
147 2022 12 21 29207.40 56.857377 1505 49.16 6145 21.85
148 2022 12 21 29207.40 57.257950 1505 49.16 6145 21.85
149 2022 12 21 29207.40 57.658463 1505 49.16 6145 21.85
150 2022 12 21 29208.40 58.058946 1505 49.16 6145 21.85
151 2022 12 21 29208.40 58.459567 1504 49.13 6145 21.85
152 2022 12 21 29209.40 58.860193 1505 49.16 6144 21.84
153 2022 12 21 29209.40 59.260586 1504 49.13 6144 21.84
154 2022 12 21 29209.40 59.660824 1505 49.16 6144 21.84
155 2022 12 21 29210.40 60.061378 1505 49.16 6144 21.84
156 2022 12 21 29210.40 60.461752 1504 49.13 6144 21.84
157 2022 12 21 29211.40 60.861980 1504 49.13 6144 21.84
158 2022 12 21 29211.40 61.262559 1505 49.16 6143 21.83
159 2022 12 21 29211.40 61.662725 1504 49.13 6143 21.83
160 2022 12 21 29212.40 62.062896 1505 49.16 6142 21.82
161 2022 12 21 29212.40 62.463151 1505 49.16 6142 21.82
162 2022 12 21 29213.00 62.463406 1505 49.16 6142 21.82
163 2022 12 21 29213.00 62.863790 1504 49.13 6143 21.83
164 2022 12 21 29213.00 63.264104 1505 49.16 6141 21.81
165 2022 12 21 29214.00 63.664545 1505 49.16 6141 21.81
166 2022 12 21 29214.00 64.064764 1506 49.19 6142 21.82
167 2022 12 21 29215.00 64.465219 1505 49.16 6142 21.82
168 2022 12 21 29215.40 64.865219 1506 49.19 6141 21.81
169 2022 12 21 29215.40 65.265690 1506 49.19 6141 21.81
170 2022 12 21 29215.40 65.666232 1506 49.19 6140 21.80
171 2022 12 21 29216.40 66.066781 1506 49.19 6141 21.81
172 2022 12 21 29216.40 66.466996 1506 49.19 6141 21.81
173 2022 12 21 29217.40 66.867634 1506 49.19 6141 21.81
174 2022 12 21 29217.40 67.267977 1506 49.19 6141 21.81
175 2022 12 21 29217.40 67.668544 1507 49.22 6141 21.81
176 2022 12 21 29218.40 68.069160 1507 49.22 6141 21.81
177 2022 12 21 29218.40 68.469772 1507 49.22 6141 21.81
178 2022 12 21 29219.40 68.870334 1507 49.22 6140 21.80
179 2022 12 21 29219.40 69.270736 1508 49.25 6142 21.82
180 2022 12 21 29219.40 69.671205 1507 49.22 6142 21.82
181 2022 12 21 29220.40 70.071525 1507 49.22 6141 21.81
182 2022 12 21 29220.40 70.471811 1507 49.22 6142 21.82
183 2022 12 21 29221.40 70.872120 1508 49.25 6140 21.80
184 2022 12 21 29221.00 70.872501 1508 49.25 6142 21.82
185 2022 12 21 29221.00 71.272835 1508 49.25 6141 21.81
186 2022 12 21 29222.00 71.673187 1508 49.25 6140 21.80
187 2022 12 21 29222.00 72.073531 1508 49.25 6140 21.80
188 2022 12 21 29223.00 72.473878 1508 49.25 6140 21.80
189 2022 12 21 29223.00 72.874241 1509 49.28 6141 21.81
190 2022 12 21 29223.00 73.274529 1508 49.25 6141 21.81
191 2022 12 21 29223.40 73.674529 1509 49.28 6141 21.81
192 2022 12 21 29224.40 74.074994 1509 49.28 6141 21.81
193 2022 12 21 29224.40 74.475367 1509 49.28 6141 21.81
194 2022 12 21 29225.40 74.875664 1509 49.28 6141 21.81
195 2022 12 21 29225.40 75.276370 1509 49.28 6140 21.80
196 2022 12 21 29225.40 75.677210 1509 49.28 6140 21.80
197 2022 12 21 29226.40 76.077889 1510 49.31 6140 21.80
198 2022 12 21 29226.40 76.478143 1510 49.31 6140 21.80
199 2022 12 21 29227.40 76.878592 1510 49.31 6140 21.80
200 2022 12 21 29227.40 77.278949 1509 49.28 6140 21.80
201 2022 12 21 29227.40 77.679261 1510 49.31 6140 21.80
202 2022 12 21 29228.40 78.079660 1510 49.31 6140 21.80
203 2022 12 21 29228.40 78.480001 1510 49.31 6141 21.81
204 2022 12 21 29229.40 78.880306 1510 49.32 6141 21.81
205 2022 12 21 29229.40 79.280751 1510 49.32 6141 21.81
206 2022 12 21 29229.00 79.281286 1510 49.32 6140 21.80
207 2022 12 21 29230.00 79.681540 1510 49.31 6142 21.82
208 2022 12 21 29230.00 80.081930 1510 49.32 6141 21.81
209 2022 12 21 29231.00 80.482455 1510 49.32 6141 21.81
210 2022 12 21 29231.00 80.882961 1510 49.32 6141 21.81
211 2022 12 21 29231.00 81.283363 1510 49.32 6141 21.81
212 2022 12 21 29231.40 81.683363 1511 49.35 6140 21.80
213 2022 12 21 29232.40 82.083968 1510 49.31 6141 21.81
214 2022 12 21 29232.40 82.484449 1511 49.35 6140 21.80
215 2022 12 21 29233.40 82.884984 1511 49.35 6141 21.81
216 2022 12 21 29233.40 83.285585 1511 49.35 6140 21.80
217 2022 12 21 29233.40 83.686160 1511 49.35 6140 21.80
218 2022 12 21 29234.40 84.086743 1511 49.35 6140 21.80
219 2022 12 21 29234.40 84.487370 1512 49.38 6139 21.79
220 2022 12 21 29235.40 84.888046 1512 49.38 6140 21.80
221 2022 12 21 29235.40 85.288707 1512 49.38 6140 21.80
222 2022 12 21 29235.40 85.689161 1512 49.38 6140 21.80
223 2022 12 21 29236.40 86.089889 1512 49.38 6140 21.80
224 2022 12 21 29236.40 86.490128 1512 49.38 6140 21.80
225 2022 12 21 29237.40 86.890699 1512 49.38 6140 21.80
226 2022 12 21 29237.40 87.291256 1512 49.38 6140 21.80
227 2022 12 21 29237.40 87.691537 1512 49.38 6140 21.80
228 2022 12 21 29238.00 87.692079 1512 49.38 6140 21.80
229 2022 12 21 29238.00 88.092650 1512 49.38 6140 21.80
230 2022 12 21 29239.00 88.493129 1512 49.38 6139 21.79
231 2022 12 21 29239.00 88.893388 1512 49.38 6139 21.79
232 2022 12 21 29239.00 89.293535 1512 49.38 6140 21.80
233 2022 12 21 29239.40 89.693535 1512 49.38 6140 21.80
234 2022 12 21 29240.40 90.093693 1512 49.38 6140 21.80
235 2022 12 21 29240.40 90.493864 1512 49.38 6139 21.79
236 2022 12 21 29241.40 90.894045 1513 49.41 6140 21.80
237 2022 12 21 29241.40 91.294254 1512 49.38 6140 21.80
238 2022 12 21 29241.40 91.694472 1512 49.38 6141 21.81
239 2022 12 21 29242.40 92.094689 1512 49.38 6140 21.80
240 2022 12 21 29242.40 92.494909 1512 49.38 6140 21.80
241 2022 12 21 29243.40 92.895131 1512 49.38 6140 21.80
242 2022 12 21 29243.40 93.295390 1512 49.38 6140 21.80
243 2022 12 21 29243.40 93.695599 1512 49.38 6138 21.78
244 2022 12 21 29244.40 94.096018 1511 49.34 6140 21.80
245 2022 12 21 29244.40 94.496465 1512 49.38 6140 21.80
246 2022 12 21 29245.40 94.896922 1511 49.35 6140 21.80
247 2022 12 21 29245.40 95.297194 1511 49.35 6138 21.78
248 2022 12 21 29245.40 95.697622 1511 49.34 6139 21.79
249 2022 12 21 29246.00 95.698081 1511 49.34 6138 21.78
250 2022 12 21 29246.00 96.098303 1510 49.31 6139 21.79
251 2022 12 21 29247.00 96.498757 1511 49.34 6139 21.79
252 2022 12 21 29247.00 96.899217 1511 49.34 6139 21.79
253 2022 12 21 29247.00 97.299690 1511 49.34 6140 21.80
254 2022 12 21 29248.00 97.700248 1511 49.35 6139 21.79
255 2022 12 21 29248.40 98.100248 1510 49.31 6138 21.78
