n anno mese giorno hum_int time RH_raw RH_true temp_int temp_corr
0 2022 12 15 43692.00 0.801119 1811 55.31 6238 22.78
1 2022 12 15 43692.40 1.201119 1811 58.84 6238 22.78
2 2022 12 15 43693.00 1.601736 1811 58.84 6237 22.77
3 2022 12 15 43693.40 2.001736 1811 58.84 6237 22.77
4 2022 12 15 43694.00 2.402311 1811 58.84 6237 22.77
5 2022 12 15 43694.40 2.802311 1811 58.84 6237 22.77
6 2022 12 15 43695.00 3.202948 1811 58.84 6236 22.76
7 2022 12 15 43695.40 3.602948 1811 58.84 6238 22.78
8 2022 12 15 43695.80 4.002948 1811 58.84 6237 22.77
9 2022 12 15 43695.40 4.403388 1811 58.84 6237 22.77
10 2022 12 15 43695.80 4.803388 1811 58.84 6237 22.77
11 2022 12 15 43696.40 5.204034 1811 58.84 6237 22.77
12 2022 12 15 43696.80 5.604034 1811 58.84 6236 22.76
13 2022 12 15 43697.40 6.004686 1811 58.84 6238 22.78
14 2022 12 15 43697.80 6.404686 1811 58.84 6238 22.78
15 2022 12 15 43698.40 6.805051 1811 58.84 6238 22.78
16 2022 12 15 43698.80 7.205051 1811 58.84 6237 22.77
17 2022 12 15 43699.40 7.605276 1810 58.81 6238 22.78
18 2022 12 15 43699.80 8.005276 1811 58.84 6238 22.78
19 2022 12 15 43699.40 8.405775 1811 58.84 6237 22.77
20 2022 12 15 43699.80 8.805775 1810 58.81 6238 22.78
21 2022 12 15 43700.40 9.206361 1811 58.84 6238 22.78
22 2022 12 15 43700.80 9.606361 1810 58.81 6239 22.79
23 2022 12 15 43701.40 10.006924 1811 58.84 6238 22.78
24 2022 12 15 43701.80 10.406924 1810 58.81 6237 22.77
25 2022 12 15 43702.00 10.407494 1811 58.84 6238 22.78
26 2022 12 15 43702.40 10.807494 1810 58.81 6238 22.78
27 2022 12 15 43703.00 11.208073 1810 58.81 6237 22.77
28 2022 12 15 43703.40 11.608073 1811 58.84 6237 22.77
29 2022 12 15 43703.00 12.008647 1810 58.81 6238 22.78
30 2022 12 15 43703.40 12.408647 1810 58.81 6238 22.78
31 2022 12 15 43703.80 12.808647 1810 58.81 6238 22.78
32 2022 12 15 43704.40 13.209237 1810 58.81 6238 22.78
33 2022 12 15 43704.80 13.609237 1810 58.81 6238 22.78
34 2022 12 15 43705.40 14.009515 1811 58.84 6238 22.78
35 2022 12 15 43705.80 14.409515 1810 58.81 6237 22.77
36 2022 12 15 43706.40 14.809783 1810 58.81 6238 22.78
37 2022 12 15 43706.80 15.209783 1810 58.81 6238 22.78
38 2022 12 15 43707.40 15.610166 1810 58.81 6237 22.77
39 2022 12 15 43707.80 16.010166 1810 58.81 6237 22.77
40 2022 12 15 43707.40 16.410702 1810 58.81 6237 22.77
41 2022 12 15 43707.80 16.810702 1810 58.81 6237 22.77
42 2022 12 15 43708.40 17.211326 1810 58.81 6237 22.77
43 2022 12 15 43708.80 17.611326 1811 58.84 6237 22.77
44 2022 12 15 43709.40 18.011929 1810 58.81 6237 22.77
45 2022 12 15 43709.80 18.411929 1810 58.81 6237 22.77
46 2022 12 15 43710.00 18.412574 1810 58.81 6237 22.77
47 2022 12 15 43710.40 18.812574 1810 58.81 6237 22.77
48 2022 12 15 43711.00 19.213219 1810 58.81 6237 22.77
49 2022 12 15 43711.40 19.613219 1810 58.81 6237 22.77
50 2022 12 15 43711.00 20.013887 1810 58.81 6237 22.77
51 2022 12 15 43711.40 20.413887 1810 58.81 6238 22.78
52 2022 12 15 43711.80 20.813887 1810 58.81 6236 22.76
53 2022 12 15 43712.40 21.214443 1810 58.81 6236 22.76
54 2022 12 15 43712.80 21.614443 1811 58.84 6236 22.76
55 2022 12 15 43713.40 22.015008 1810 58.81 6236 22.76
56 2022 12 15 43713.80 22.415008 1810 58.81 6236 22.76
57 2022 12 15 43714.40 22.815360 1811 58.84 6236 22.76
58 2022 12 15 43714.80 23.215360 1810 58.81 6236 22.76
59 2022 12 15 43715.40 23.615558 1811 58.84 6236 22.76
60 2022 12 15 43715.80 24.015558 1811 58.84 6238 22.78
61 2022 12 15 43715.40 24.415755 1811 58.84 6237 22.77
62 2022 12 15 43715.80 24.815755 1811 58.84 6237 22.77
63 2022 12 15 43716.40 25.216177 1811 58.84 6237 22.77
64 2022 12 15 43716.80 25.616177 1811 58.84 6237 22.77
65 2022 12 15 43717.40 26.016540 1811 58.84 6236 22.76
66 2022 12 15 43717.80 26.416540 1811 58.84 6236 22.76
67 2022 12 15 43718.40 26.816990 1811 58.84 6237 22.77
68 2022 12 15 43718.80 27.216990 1811 58.84 6237 22.77
69 2022 12 15 43719.00 27.217443 1810 58.81 6236 22.76
70 2022 12 15 43719.40 27.617443 1811 58.84 6237 22.77
71 2022 12 15 43719.00 28.017942 1811 58.84 6236 22.76
