n anno mese giorno hum_int time RH_raw RH_true temp_int temp_corr
0 2022 12 15 40298.00 0.381792 1806 55.17 6232 22.72
1 2022 12 15 40298.40 1.162448 1807 58.71 6231 22.71
2 2022 12 15 40299.40 1.542998 1806 58.68 6232 22.72
3 2022 12 15 40299.40 1.923319 1806 58.68 6231 22.71
4 2022 12 15 40299.40 2.304027 1806 58.68 6232 22.72
5 2022 12 15 40300.40 2.684298 1806 58.68 6232 22.72
6 2022 12 15 40300.40 3.064713 1806 58.68 6232 22.72
7 2022 12 15 40301.40 3.445309 1806 58.68 6232 22.72
8 2022 12 15 40301.40 3.825736 1806 58.68 6232 22.72
9 2022 12 15 40301.40 4.206435 1806 58.68 6233 22.73
10 2022 12 15 40302.40 4.587094 1806 58.68 6231 22.71
11 2022 12 15 40302.40 4.967582 1806 58.68 6231 22.71
12 2022 12 15 40303.40 5.348188 1807 58.71 6232 22.72
13 2022 12 15 40303.40 5.728518 1807 58.71 6230 22.70
14 2022 12 15 40303.40 6.108784 1806 58.67 6230 22.70
15 2022 12 15 40304.40 6.489398 1806 58.67 6230 22.70
16 2022 12 15 40304.40 6.869716 1807 58.70 6231 22.71
17 2022 12 15 40304.40 7.250191 1807 58.71 6230 22.70
18 2022 12 15 40305.40 7.630706 1806 58.67 6231 22.71
19 2022 12 15 40305.40 8.011076 1807 58.71 6231 22.71
20 2022 12 15 40306.40 8.391608 1807 58.71 6230 22.70
21 2022 12 15 40306.40 8.772164 1807 58.70 6231 22.71
22 2022 12 15 40306.40 9.152563 1807 58.71 6230 22.70
23 2022 12 15 40307.00 9.513635 1807 58.70 6230 22.70
24 2022 12 15 40307.00 9.893989 1806 58.67 6232 22.72
25 2022 12 15 40308.00 10.274448 1807 58.71 6231 22.71
26 2022 12 15 40308.40 10.674448 1807 58.71 6231 22.71
27 2022 12 15 40309.00 11.035222 1807 58.71 6231 22.71
28 2022 12 15 40309.00 11.415811 1807 58.71 6231 22.71
29 2022 12 15 40309.00 11.796094 1807 58.71 6232 22.72
30 2022 12 15 40310.00 12.176359 1807 58.71 6231 22.71
31 2022 12 15 40310.00 12.557025 1807 58.71 6231 22.71
32 2022 12 15 40311.00 12.937290 1807 58.71 6230 22.70
33 2022 12 15 40311.00 13.317820 1807 58.70 6231 22.71
34 2022 12 15 40311.00 13.698348 1807 58.71 6230 22.70
35 2022 12 15 40312.00 14.079030 1807 58.70 6232 22.72
36 2022 12 15 40312.00 14.459536 1807 58.71 6231 22.71
37 2022 12 15 40312.00 14.840076 1807 58.71 6232 22.72
38 2022 12 15 40313.00 15.220634 1807 58.71 6230 22.70
39 2022 12 15 40313.00 15.600942 1807 58.70 6231 22.71
40 2022 12 15 40314.00 15.981247 1807 58.71 6232 22.72
41 2022 12 15 40314.00 16.361778 1807 58.71 6232 22.72
42 2022 12 15 40314.00 16.742150 1807 58.71 6231 22.71
43 2022 12 15 40315.00 17.122484 1807 58.71 6231 22.71
44 2022 12 15 40315.00 17.503109 1807 58.71 6231 22.71
45 2022 12 15 40315.00 17.883663 1807 58.71 6231 22.71
46 2022 12 15 40316.00 18.264164 1807 58.71 6231 22.71
47 2022 12 15 40316.00 18.644373 1807 58.71 6231 22.71
48 2022 12 15 40317.00 19.024696 1806 58.68 6232 22.72
49 2022 12 15 40317.00 19.404907 1807 58.71 6232 22.72
50 2022 12 15 40317.00 19.785135 1807 58.71 6232 22.72
51 2022 12 15 40318.00 20.165539 1807 58.71 6231 22.71
52 2022 12 15 40318.00 20.545914 1807 58.71 6230 22.70
53 2022 12 15 40318.00 20.926459 1807 58.70 6231 22.71
54 2022 12 15 40319.00 21.306673 1806 58.68 6231 22.71
55 2022 12 15 40319.00 21.686960 1807 58.71 6231 22.71
56 2022 12 15 40320.00 22.067181 1807 58.71 6230 22.70
57 2022 12 15 40320.00 22.447359 1807 58.70 6230 22.70
58 2022 12 15 40320.00 22.827567 1807 58.70 6232 22.72
59 2022 12 15 40321.00 23.207770 1807 58.71 6232 22.72
60 2022 12 15 40321.00 23.588028 1807 58.71 6232 22.72
61 2022 12 15 40322.00 23.968243 1807 58.71 6231 22.71
62 2022 12 15 40322.00 24.348473 1806 58.68 6232 22.72
63 2022 12 15 40322.00 24.728701 1806 58.68 6231 22.71
64 2022 12 15 40323.00 25.108928 1806 58.68 6231 22.71
65 2022 12 15 40323.00 25.489133 1806 58.68 6231 22.71
66 2022 12 15 40323.00 25.869350 1806 58.68 6230 22.70
67 2022 12 15 40324.00 26.249570 1807 58.70 6231 22.71
68 2022 12 15 40324.00 26.629782 1806 58.68 6231 22.71
69 2022 12 15 40325.00 27.009993 1806 58.68 6232 22.72
70 2022 12 15 40325.00 27.390641 1807 58.71 6232 22.72
71 2022 12 15 40325.00 27.771161 1806 58.68 6232 22.72
72 2022 12 15 40326.00 28.151742 1806 58.68 6230 22.70
73 2022 12 15 40326.00 28.532205 1806 58.67 6231 22.71
74 2022 12 15 40326.00 28.912597 1806 58.68 6231 22.71
75 2022 12 15 40327.00 29.293225 1807 58.71 6232 22.72
76 2022 12 15 40327.00 29.673891 1806 58.68 6230 22.70
77 2022 12 15 40328.00 30.054339 1807 58.70 6230 22.70
78 2022 12 15 40328.00 30.434822 1806 58.67 6231 22.71
79 2022 12 15 40328.00 30.815317 1806 58.68 6231 22.71
80 2022 12 15 40329.00 31.195523 1806 58.68 6231 22.71
81 2022 12 15 40329.00 31.576061 1806 58.68 6231 22.71
82 2022 12 15 40330.00 31.956508 1807 58.71 6231 22.71
83 2022 12 15 40330.00 32.336848 1806 58.68 6231 22.71
84 2022 12 15 40330.00 32.717076 1807 58.71 6232 22.72
85 2022 12 15 40331.40 33.497548 1806 58.68 6232 22.72
86 2022 12 15 40331.40 33.878017 1806 58.68 6231 22.71
87 2022 12 15 40331.40 34.258499 1807 58.71 6230 22.70
88 2022 12 15 40332.00 34.239056 1807 58.70 6231 22.71
89 2022 12 15 40332.40 35.019543 1806 58.68 6231 22.71
90 2022 12 15 40333.40 35.400035 1807 58.71 6232 22.72
91 2022 12 15 40333.40 35.780474 1806 58.68 6231 22.71
92 2022 12 15 40333.40 36.160668 1806 58.68 6232 22.72
93 2022 12 15 40334.40 36.541080 1806 58.68 6232 22.72
94 2022 12 15 40334.40 36.921312 1807 58.71 6232 22.72
95 2022 12 15 40334.40 37.301462 1806 58.68 6232 22.72
96 2022 12 15 40335.40 37.681868 1806 58.68 6232 22.72
97 2022 12 15 40335.40 38.062297 1806 58.68 6231 22.71
98 2022 12 15 40336.40 38.442744 1806 58.68 6232 22.72
99 2022 12 15 40336.40 38.823298 1806 58.68 6232 22.72
100 2022 12 15 40336.40 39.203696 1806 58.68 6232 22.72
101 2022 12 15 40337.40 39.583891 1806 58.68 6233 22.73
102 2022 12 15 40337.40 39.964115 1806 58.68 6233 22.73
103 2022 12 15 40338.40 40.344674 1806 58.68 6231 22.71
104 2022 12 15 40338.40 40.725178 1806 58.68 6232 22.72
105 2022 12 15 40338.40 41.105561 1806 58.68 6232 22.72
106 2022 12 15 40339.40 41.485800 1806 58.68 6232 22.72
107 2022 12 15 40339.40 41.866313 1806 58.68 6232 22.72
