n anno mese giorno hum_int time RH_raw RH_true temp_int temp_corr
0 2022 12 15 42028.00 0.841752 1806 55.17 6237 22.77
1 2022 12 15 42028.00 1.262623 1806 58.68 6237 22.77
2 2022 12 15 42028.00 1.683165 1805 58.65 6236 22.76
3 2022 12 15 42028.40 2.083165 1806 58.68 6237 22.77
4 2022 12 15 42029.40 2.503791 1806 58.68 6237 22.77
5 2022 12 15 42029.40 2.924077 1806 58.68 6238 22.78
6 2022 12 15 42030.40 3.344459 1806 58.69 6238 22.78
7 2022 12 15 42030.40 3.764989 1806 58.69 6238 22.78
8 2022 12 15 42030.40 4.185633 1806 58.69 6238 22.78
9 2022 12 15 42031.40 4.606334 1806 58.69 6237 22.77
10 2022 12 15 42031.40 5.026812 1806 58.68 6237 22.77
11 2022 12 15 42032.00 5.047412 1806 58.68 6238 22.78
12 2022 12 15 42032.00 5.468028 1805 58.66 6238 22.78
13 2022 12 15 42032.40 5.868028 1806 58.69 6238 22.78
14 2022 12 15 42033.40 6.288325 1806 58.69 6238 22.78
15 2022 12 15 42033.40 6.708602 1806 58.69 6238 22.78
16 2022 12 15 42033.40 7.129206 1806 58.69 6238 22.78
17 2022 12 15 42034.40 7.549508 1805 58.66 6238 22.78
18 2022 12 15 42034.40 7.969901 1806 58.69 6239 22.79
19 2022 12 15 42035.40 8.390460 1806 58.69 6238 22.78
20 2022 12 15 42035.40 8.811072 1806 58.69 6238 22.78
21 2022 12 15 42036.40 9.231669 1806 58.69 6238 22.78
22 2022 12 15 42036.00 9.252006 1806 58.69 6239 22.79
23 2022 12 15 42036.00 9.672271 1806 58.69 6238 22.78
24 2022 12 15 42036.40 10.072271 1806 58.69 6238 22.78
25 2022 12 15 42037.40 10.492982 1806 58.69 6238 22.78
26 2022 12 15 42037.40 10.913464 1806 58.69 6239 22.79
27 2022 12 15 42038.40 11.333878 1806 58.69 6239 22.79
28 2022 12 15 42038.40 11.754403 1806 58.69 6239 22.79
29 2022 12 15 42038.40 12.174607 1806 58.69 6240 22.80
30 2022 12 15 42039.40 12.595125 1806 58.69 6239 22.79
31 2022 12 15 42039.40 13.015711 1806 58.69 6240 22.80
32 2022 12 15 42040.00 13.036342 1805 58.66 6240 22.80
33 2022 12 15 42040.00 13.456655 1806 58.69 6238 22.78
34 2022 12 15 42041.00 13.877208 1806 58.69 6238 22.78
35 2022 12 15 42041.40 14.277208 1806 58.69 6239 22.79
36 2022 12 15 42041.40 14.697820 1806 58.69 6238 22.78
37 2022 12 15 42041.40 15.118516 1806 58.69 6238 22.78
38 2022 12 15 42042.40 15.538818 1806 58.69 6237 22.77
39 2022 12 15 42042.40 15.959076 1806 58.68 6238 22.78
40 2022 12 15 42043.40 16.379352 1806 58.69 6238 22.78
41 2022 12 15 42043.40 16.799824 1806 58.69 6239 22.79
42 2022 12 15 42044.40 17.220362 1807 58.72 6239 22.79
