n anno mese giorno hum_int time RH_raw RH_true temp_int temp_corr
0 2022 12 15 41160.00 0.400962 1810 55.28 6230 22.70
1 2022 12 15 41161.40 1.201322 1811 58.83 6229 22.69
2 2022 12 15 41161.00 1.201648 1811 58.83 6230 22.70
3 2022 12 15 41162.00 1.601962 1811 58.83 6231 22.71
4 2022 12 15 41162.00 2.002236 1811 58.83 6229 22.69
5 2022 12 15 41162.00 2.402511 1811 58.83 6229 22.69
6 2022 12 15 41163.00 2.802746 1811 58.83 6230 22.70
7 2022 12 15 41163.00 3.202950 1811 58.83 6230 22.70
8 2022 12 15 41164.00 3.603169 1811 58.83 6230 22.70
9 2022 12 15 41164.40 4.003169 1811 58.83 6230 22.70
10 2022 12 15 41164.40 4.403418 1811 58.83 6230 22.70
11 2022 12 15 41164.40 4.803627 1811 58.83 6230 22.70
12 2022 12 15 41165.40 5.203854 1811 58.83 6231 22.71
13 2022 12 15 41165.40 5.604116 1811 58.83 6230 22.70
14 2022 12 15 41166.40 6.004670 1811 58.83 6230 22.70
15 2022 12 15 41166.40 6.405213 1811 58.83 6230 22.70
16 2022 12 15 41166.40 6.805454 1811 58.83 6230 22.70
17 2022 12 15 41167.40 7.205992 1811 58.83 6230 22.70
18 2022 12 15 41167.40 7.606467 1811 58.83 6230 22.70
19 2022 12 15 41168.40 8.007006 1811 58.83 6231 22.71
20 2022 12 15 41168.40 8.407556 1811 58.83 6230 22.70
21 2022 12 15 41168.40 8.807959 1811 58.83 6231 22.71
22 2022 12 15 41169.40 9.208503 1812 58.86 6230 22.70
23 2022 12 15 41169.40 9.609020 1811 58.83 6231 22.71
24 2022 12 15 41170.40 10.009586 1811 58.83 6230 22.70
25 2022 12 15 41170.00 10.009830 1812 58.86 6230 22.70
26 2022 12 15 41170.00 10.410324 1811 58.83 6230 22.70
27 2022 12 15 41171.00 10.810859 1811 58.83 6230 22.70
28 2022 12 15 41171.00 11.211337 1811 58.83 6230 22.70
29 2022 12 15 41172.00 11.611933 1811 58.83 6230 22.70
30 2022 12 15 41172.00 12.012536 1811 58.83 6229 22.69
31 2022 12 15 41172.40 12.412536 1812 58.86 6230 22.70
32 2022 12 15 41172.40 12.812996 1811 58.83 6230 22.70
33 2022 12 15 41173.40 13.213541 1812 58.86 6230 22.70
34 2022 12 15 41173.40 13.614004 1811 58.83 6230 22.70
35 2022 12 15 41174.40 14.014557 1811 58.83 6230 22.70
36 2022 12 15 41174.40 14.415160 1811 58.83 6230 22.70
37 2022 12 15 41174.40 14.815635 1811 58.83 6229 22.69
38 2022 12 15 41175.40 15.216206 1811 58.83 6230 22.70
39 2022 12 15 41175.40 15.616374 1811 58.83 6230 22.70
40 2022 12 15 41176.40 16.016688 1811 58.83 6230 22.70
41 2022 12 15 41176.40 16.416960 1812 58.86 6230 22.70
42 2022 12 15 41176.40 16.817373 1812 58.86 6229 22.69
43 2022 12 15 41177.40 17.217767 1812 58.86 6231 22.71
44 2022 12 15 41177.40 17.618007 1811 58.83 6230 22.70
45 2022 12 15 41178.40 18.018456 1812 58.86 6229 22.69
46 2022 12 15 41178.00 18.018927 1811 58.83 6230 22.70
47 2022 12 15 41178.00 18.419149 1811 58.83 6229 22.69
48 2022 12 15 41179.00 18.819560 1811 58.83 6229 22.69
49 2022 12 15 41179.00 19.219987 1811 58.83 6229 22.69
50 2022 12 15 41180.00 19.620182 1811 58.83 6229 22.69
51 2022 12 15 41180.00 20.020525 1811 58.83 6230 22.70
52 2022 12 15 41180.00 20.420687 1811 58.83 6230 22.70
53 2022 12 15 41180.40 20.820687 1811 58.83 6229 22.69
54 2022 12 15 41181.40 21.220961 1812 58.86 6229 22.69
55 2022 12 15 41181.40 21.621403 1811 58.83 6230 22.70
56 2022 12 15 41182.40 22.021921 1812 58.86 6230 22.70
57 2022 12 15 41182.40 22.422076 1812 58.86 6230 22.70
58 2022 12 15 41182.40 22.822559 1812 58.86 6230 22.70
59 2022 12 15 41183.40 23.223064 1812 58.86 6229 22.69
60 2022 12 15 41183.40 23.623514 1812 58.86 6231 22.71
61 2022 12 15 41184.40 24.023997 1812 58.86 6229 22.69
62 2022 12 15 41184.40 24.424206 1812 58.86 6230 22.70
63 2022 12 15 41184.40 24.824408 1812 58.86 6230 22.70
64 2022 12 15 41185.40 25.224605 1812 58.86 6230 22.70
65 2022 12 15 41185.40 25.624789 1812 58.86 6230 22.70
66 2022 12 15 41186.40 26.024992 1812 58.86 6230 22.70
67 2022 12 15 41186.40 26.425206 1812 58.86 6230 22.70
68 2022 12 15 41186.40 26.825424 1812 58.86 6230 22.70
69 2022 12 15 41187.00 26.825649 1812 58.86 6231 22.71
70 2022 12 15 41187.00 27.225885 1812 58.86 6230 22.70
71 2022 12 15 41188.00 27.626093 1812 58.86 6230 22.70
72 2022 12 15 41188.00 28.026532 1813 58.89 6230 22.70
73 2022 12 15 41188.00 28.426796 1812 58.86 6230 22.70
74 2022 12 15 41189.00 28.827423 1812 58.86 6229 22.69
75 2022 12 15 41189.40 29.227423 1813 58.89 6229 22.69
76 2022 12 15 41189.40 29.628058 1812 58.86 6230 22.70
77 2022 12 15 41190.40 30.028565 1812 58.86 6230 22.70
78 2022 12 15 41190.40 30.428990 1812 58.86 6230 22.70
79 2022 12 15 41190.40 30.829299 1812 58.86 6230 22.70
80 2022 12 15 41191.40 31.229518 1812 58.86 6230 22.70
81 2022 12 15 41191.40 31.630142 1812 58.86 6229 22.69
82 2022 12 15 41192.40 32.030454 1812 58.86 6229 22.69
83 2022 12 15 41192.40 32.430765 1812 58.86 6230 22.70
84 2022 12 15 41192.40 32.831386 1812 58.86 6229 22.69
85 2022 12 15 41193.40 33.231744 1813 58.89 6229 22.69
86 2022 12 15 41193.40 33.631917 1812 58.86 6229 22.69
87 2022 12 15 41194.40 34.032238 1812 58.86 6229 22.69
88 2022 12 15 41194.40 34.432480 1813 58.89 6231 22.71
89 2022 12 15 41194.40 34.832718 1813 58.89 6230 22.70
90 2022 12 15 41195.00 34.833108 1813 58.89 6230 22.70
91 2022 12 15 41195.00 35.233482 1813 58.89 6230 22.70
92 2022 12 15 41196.00 35.633871 1813 58.89 6230 22.70
93 2022 12 15 41196.00 36.034321 1812 58.86 6231 22.71
94 2022 12 15 41196.00 36.434793 1813 58.89 6230 22.70
95 2022 12 15 41197.00 36.835215 1813 58.89 6230 22.70
96 2022 12 15 41197.40 37.235215 1813 58.89 6230 22.70
97 2022 12 15 41197.40 37.635756 1813 58.89 6230 22.70
98 2022 12 15 41198.40 38.036252 1813 58.89 6230 22.70
99 2022 12 15 41198.40 38.436684 1812 58.86 6230 22.70
100 2022 12 15 41198.40 38.836921 1813 58.89 6230 22.70
101 2022 12 15 41199.40 39.237365 1813 58.89 6230 22.70
102 2022 12 15 41199.40 39.637852 1813 58.89 6230 22.70
103 2022 12 15 41200.40 40.038386 1813 58.89 6231 22.71
104 2022 12 15 41200.40 40.438817 1812 58.86 6230 22.70
105 2022 12 15 41200.40 40.839094 1812 58.86 6232 22.72
106 2022 12 15 41201.40 41.239634 1812 58.86 6230 22.70
107 2022 12 15 41201.40 41.639954 1812 58.86 6230 22.70
108 2022 12 15 41202.40 42.040259 1812 58.86 6229 22.69
109 2022 12 15 41202.40 42.440778 1812 58.86 6229 22.69
110 2022 12 15 41202.40 42.840990 1812 58.86 6229 22.69
111 2022 12 15 41203.40 43.241186 1812 58.86 6230 22.70
112 2022 12 15 41203.40 43.641706 1812 58.86 6230 22.70
113 2022 12 15 41204.00 43.642343 1812 58.86 6230 22.70
114 2022 12 15 41204.00 44.042883 1812 58.86 6230 22.70
115 2022 12 15 41204.00 44.443245 1811 58.83 6230 22.70
116 2022 12 15 41205.00 44.843791 1812 58.86 6231 22.71
117 2022 12 15 41205.00 45.243981 1812 58.86 6230 22.70
118 2022 12 15 41206.00 45.644588 1812 58.86 6230 22.70
119 2022 12 15 41206.40 46.044588 1812 58.86 6230 22.70
120 2022 12 15 41206.40 46.444951 1811 58.83 6230 22.70
121 2022 12 15 41206.40 46.845563 1812 58.86 6230 22.70
122 2022 12 15 41207.40 47.245719 1811 58.83 6230 22.70
123 2022 12 15 41207.40 47.646331 1811 58.83 6230 22.70
124 2022 12 15 41208.40 48.046951 1811 58.83 6230 22.70
125 2022 12 15 41208.40 48.447534 1811 58.83 6232 22.72
126 2022 12 15 41208.40 48.847769 1811 58.83 6231 22.71
127 2022 12 15 41209.40 49.248095 1811 58.83 6231 22.71
128 2022 12 15 41209.40 49.648495 1811 58.83 6232 22.72
129 2022 12 15 41210.40 50.048928 1811 58.83 6232 22.72
130 2022 12 15 41210.40 50.449374 1811 58.83 6232 22.72
131 2022 12 15 41210.40 50.849843 1811 58.83 6232 22.72
132 2022 12 15 41211.40 51.250233 1811 58.83 6232 22.72
133 2022 12 15 41211.40 51.650710 1810 58.80 6231 22.71
134 2022 12 15 41212.00 51.651237 1811 58.83 6230 22.70
135 2022 12 15 41212.00 52.051758 1811 58.83 6230 22.70
136 2022 12 15 41212.00 52.452260 1811 58.83 6231 22.71
137 2022 12 15 41213.00 52.852711 1811 58.83 6231 22.71
138 2022 12 15 41213.00 53.253205 1810 58.80 6232 22.72
139 2022 12 15 41214.00 53.653758 1811 58.83 6231 22.71
140 2022 12 15 41214.40 54.053758 1811 58.83 6232 22.72
141 2022 12 15 41214.40 54.454262 1810 58.80 6231 22.71
142 2022 12 15 41214.40 54.854499 1810 58.80 6231 22.71
143 2022 12 15 41215.40 55.254748 1811 58.83 6230 22.70
144 2022 12 15 41215.40 55.654988 1810 58.80 6231 22.71
145 2022 12 15 41216.40 56.055274 1810 58.80 6232 22.72
146 2022 12 15 41216.40 56.455766 1810 58.80 6231 22.71
147 2022 12 15 41216.40 56.856302 1810 58.80 6231 22.71
148 2022 12 15 41217.40 57.256849 1810 58.80 6231 22.71
149 2022 12 15 41217.40 57.657436 1810 58.80 6230 22.70
150 2022 12 15 41218.40 58.057947 1810 58.80 6230 22.70
151 2022 12 15 41218.40 58.458223 1810 58.80 6231 22.71
152 2022 12 15 41218.40 58.858653 1810 58.80 6231 22.71
153 2022 12 15 41219.40 59.259212 1809 58.77 6231 22.71
154 2022 12 15 41219.40 59.659809 1809 58.77 6230 22.70
155 2022 12 15 41220.40 60.060037 1810 58.80 6231 22.71
156 2022 12 15 41220.40 60.460244 1809 58.77 6232 22.72
157 2022 12 15 41220.00 60.460459 1810 58.80 6232 22.72
158 2022 12 15 41221.00 60.860662 1810 58.80 6231 22.71
159 2022 12 15 41221.00 61.260900 1810 58.80 6231 22.71
160 2022 12 15 41222.00 61.661127 1810 58.80 6231 22.71
161 2022 12 15 41222.00 62.061350 1810 58.80 6231 22.71
162 2022 12 15 41222.00 62.461571 1810 58.80 6230 22.70
163 2022 12 15 41222.40 62.861571 1809 58.77 6232 22.72
164 2022 12 15 41223.40 63.261918 1810 58.80 6230 22.70
165 2022 12 15 41223.40 63.662131 1810 58.80 6231 22.71
166 2022 12 15 41224.40 64.062351 1810 58.80 6230 22.70
167 2022 12 15 41224.40 64.462559 1809 58.77 6232 22.72
168 2022 12 15 41224.40 64.862764 1809 58.77 6231 22.71
169 2022 12 15 41225.40 65.262980 1809 58.77 6231 22.71
170 2022 12 15 41225.40 65.663175 1809 58.77 6231 22.71
171 2022 12 15 41226.40 66.063522 1809 58.77 6232 22.72
172 2022 12 15 41226.40 66.463803 1809 58.77 6232 22.72
173 2022 12 15 41226.40 66.864037 1809 58.77 6230 22.70
174 2022 12 15 41227.40 67.264423 1809 58.77 6230 22.70
175 2022 12 15 41227.40 67.664658 1810 58.80 6231 22.71
176 2022 12 15 41228.40 68.065126 1809 58.77 6231 22.71
177 2022 12 15 41228.40 68.465611 1809 58.77 6231 22.71
178 2022 12 15 41228.00 68.465956 1809 58.77 6231 22.71
179 2022 12 15 41229.00 68.866436 1809 58.77 6230 22.70
180 2022 12 15 41229.00 69.266877 1810 58.80 6231 22.71
181 2022 12 15 41230.00 69.667378 1809 58.77 6231 22.71
182 2022 12 15 41230.00 70.067786 1809 58.77 6231 22.71
183 2022 12 15 41230.00 70.468239 1809 58.77 6230 22.70
184 2022 12 15 41230.40 70.868239 1809 58.77 6232 22.72
185 2022 12 15 41231.40 71.268715 1809 58.77 6230 22.70
186 2022 12 15 41231.40 71.668927 1810 58.80 6231 22.71
187 2022 12 15 41232.40 72.069449 1810 58.80 6232 22.72
188 2022 12 15 41232.40 72.469980 1809 58.77 6231 22.71
189 2022 12 15 41232.40 72.870141 1809 58.77 6231 22.71
190 2022 12 15 41233.40 73.270622 1810 58.80 6231 22.71
191 2022 12 15 41233.40 73.671186 1810 58.80 6230 22.70
192 2022 12 15 41234.40 74.071350 1810 58.80 6231 22.71
