n anno mese giorno hum_int time RH_raw RH_true temp_int temp_corr
83 2022 12 15 42884.00 32.784505 1811 58.83 6235 22.75
84 2022 12 15 42884.40 33.184505 1811 58.84 6235 22.75
85 2022 12 15 42884.00 33.565090 1810 58.80 6235 22.75
86 2022 12 15 42884.40 33.965090 1810 58.80 6235 22.75
87 2022 12 15 42885.00 34.345706 1811 58.84 6234 22.74
88 2022 12 15 42885.40 34.745706 1811 58.83 6234 22.74
89 2022 12 15 42886.00 35.125904 1811 58.83 6235 22.75
90 2022 12 15 42886.40 35.525904 1811 58.84 6235 22.75
91 2022 12 15 42887.00 35.906296 1810 58.80 6234 22.74
92 2022 12 15 42887.40 36.306296 1811 58.83 6235 22.75
93 2022 12 15 42887.00 36.686838 1811 58.84 6236 22.76
94 2022 12 15 42887.40 37.086838 1811 58.84 6234 22.74
95 2022 12 15 42887.80 37.486838 1811 58.83 6235 22.75
96 2022 12 15 42888.40 37.867525 1811 58.84 6235 22.75
97 2022 12 15 42888.80 38.267525 1811 58.84 6234 22.74
98 2022 12 15 42889.40 38.647985 1811 58.83 6235 22.75
99 2022 12 15 42889.80 39.047985 1810 58.80 6234 22.74
100 2022 12 15 42890.40 39.428489 1811 58.83 6234 22.74
101 2022 12 15 42890.80 39.828489 1811 58.83 6235 22.75
102 2022 12 15 42891.40 40.208768 1811 58.84 6236 22.76
103 2022 12 15 42891.80 40.608768 1811 58.84 6235 22.75
104 2022 12 15 42891.40 40.988993 1811 58.84 6235 22.75
105 2022 12 15 42891.80 41.388993 1810 58.80 6234 22.74
106 2022 12 15 42892.40 41.769536 1811 58.83 6235 22.75
107 2022 12 15 42892.80 42.169536 1811 58.84 6235 22.75
108 2022 12 15 42893.40 42.550104 1811 58.84 6235 22.75
109 2022 12 15 42893.80 42.950104 1811 58.84 6234 22.74
110 2022 12 15 42894.40 43.330569 1811 58.83 6234 22.74
111 2022 12 15 42894.80 43.730569 1812 58.86 6235 22.75
112 2022 12 15 42894.40 44.111110 1811 58.84 6234 22.74
113 2022 12 15 42894.80 44.511110 1811 58.83 6234 22.74
114 2022 12 15 42895.40 44.891585 1811 58.83 6235 22.75
115 2022 12 15 42895.80 45.291585 1812 58.87 6234 22.74
116 2022 12 15 42896.40 45.672172 1812 58.86 6234 22.74
117 2022 12 15 42896.80 46.072172 1812 58.86 6234 22.74
118 2022 12 15 42897.40 46.452724 1812 58.86 6234 22.74
119 2022 12 15 42897.80 46.852724 1811 58.83 6234 22.74
120 2022 12 15 42898.40 47.233197 1812 58.86 6234 22.74
121 2022 12 15 42898.80 47.633197 1812 58.86 6234 22.74
122 2022 12 15 42898.40 48.013736 1812 58.86 6233 22.73
123 2022 12 15 42898.80 48.413736 1812 58.86 6234 22.74
124 2022 12 15 42899.40 48.794306 1812 58.86 6234 22.74
125 2022 12 15 42899.80 49.194306 1812 58.86 6234 22.74
126 2022 12 15 42900.40 49.574562 1812 58.86 6234 22.74
127 2022 12 15 42900.80 49.974562 1812 58.86 6233 22.73
128 2022 12 15 42901.40 50.354813 1812 58.86 6234 22.74
129 2022 12 15 42901.80 50.754813 1812 58.86 6233 22.73
130 2022 12 15 42902.00 50.735022 1812 58.86 6235 22.75
131 2022 12 15 42902.40 51.135022 1812 58.87 6233 22.73
132 2022 12 15 42902.00 51.515297 1812 58.86 6233 22.73
133 2022 12 15 42902.40 51.915297 1812 58.86 6233 22.73
134 2022 12 15 42903.00 52.295566 1812 58.86 6233 22.73
135 2022 12 15 42903.40 52.695566 1812 58.86 6234 22.74
136 2022 12 15 42904.00 53.075768 1812 58.86 6233 22.73
137 2022 12 15 42904.40 53.475768 1812 58.86 6234 22.74
138 2022 12 15 42905.00 53.856030 1812 58.86 6234 22.74
139 2022 12 15 42905.40 54.256030 1813 58.90 6234 22.74
140 2022 12 15 42905.00 54.636426 1812 58.86 6233 22.73
141 2022 12 15 42905.40 55.036426 1812 58.86 6233 22.73
142 2022 12 15 42906.00 55.416991 1812 58.86 6233 22.73
143 2022 12 15 42906.40 55.816991 1812 58.86 6233 22.73
144 2022 12 15 42906.80 56.216991 1812 58.86 6233 22.73
145 2022 12 15 42907.40 56.597437 1813 58.89 6234 22.74
146 2022 12 15 42907.80 56.997437 1812 58.86 6234 22.74
147 2022 12 15 42908.40 57.377913 1812 58.86 6234 22.74
148 2022 12 15 42908.80 57.777913 1812 58.86 6232 22.72
149 2022 12 15 42909.40 58.158394 1812 58.86 6234 22.74
150 2022 12 15 42909.80 58.558394 1812 58.86 6234 22.74
151 2022 12 15 42909.40 58.938923 1812 58.86 6234 22.74
152 2022 12 15 42909.80 59.338923 1812 58.86 6233 22.73
153 2022 12 15 42910.40 59.719422 1812 58.86 6234 22.74
154 2022 12 15 42910.80 60.119422 1812 58.86 6234 22.74
155 2022 12 15 42911.40 60.499944 1812 58.86 6234 22.74
156 2022 12 15 42911.80 60.899944 1812 58.86 6235 22.75
157 2022 12 15 42912.40 61.280357 1812 58.87 6235 22.75
158 2022 12 15 42912.80 61.680357 1812 58.87 6234 22.74
159 2022 12 15 42912.40 62.061035 1812 58.86 6233 22.73
160 2022 12 15 42912.80 62.461035 1812 58.86 6233 22.73
161 2022 12 15 42913.40 62.841420 1812 58.86 6233 22.73
162 2022 12 15 42913.80 63.241420 1812 58.86 6234 22.74
163 2022 12 15 42914.40 63.621915 1812 58.86 6234 22.74
164 2022 12 15 42914.80 64.021915 1812 58.86 6233 22.73
165 2022 12 15 42915.40 64.402423 1812 58.86 6234 22.74
166 2022 12 15 42915.80 64.802423 1812 58.86 6233 22.73
167 2022 12 15 42916.40 65.182911 1812 58.86 6234 22.74
168 2022 12 15 42916.80 65.582911 1812 58.86 6234 22.74
169 2022 12 15 42916.40 65.963149 1812 58.86 6232 22.72
170 2022 12 15 42916.80 66.363149 1812 58.86 6234 22.74
171 2022 12 15 42917.40 66.743370 1812 58.86 6234 22.74
172 2022 12 15 42917.80 67.143370 1812 58.86 6234 22.74
173 2022 12 15 42918.40 67.523653 1812 58.86 6234 22.74
174 2022 12 15 42918.80 67.923653 1812 58.86 6234 22.74
175 2022 12 15 42919.40 68.303901 1812 58.86 6234 22.74
176 2022 12 15 42919.80 68.703901 1812 58.86 6233 22.73
177 2022 12 15 42919.00 68.684176 1812 58.86 6234 22.74
178 2022 12 15 42919.40 69.084176 1812 58.86 6234 22.74
179 2022 12 15 42920.00 69.464462 1812 58.86 6234 22.74
180 2022 12 15 42920.40 69.864462 1812 58.86 6234 22.74
181 2022 12 15 42921.00 70.244987 1812 58.86 6235 22.75
182 2022 12 15 42921.40 70.644987 1812 58.87 6234 22.74
183 2022 12 15 42922.00 71.025502 1812 58.86 6234 22.74
184 2022 12 15 42922.40 71.425502 1812 58.86 6235 22.75
185 2022 12 15 42923.00 71.806076 1812 58.87 6234 22.74
186 2022 12 15 42923.40 72.206076 1812 58.86 6234 22.74
187 2022 12 15 42923.00 72.586682 1812 58.86 6235 22.75
188 2022 12 15 42923.40 72.986682 1812 58.87 6234 22.74
189 2022 12 15 42924.00 73.367282 1812 58.86 6235 22.75
190 2022 12 15 42924.40 73.767282 1812 58.87 6234 22.74
191 2022 12 15 42925.00 74.147843 1812 58.86 6235 22.75
192 2022 12 15 42925.40 74.547843 1811 58.84 6234 22.74
193 2022 12 15 42925.80 74.947843 1812 58.86 6234 22.74
194 2022 12 15 42926.40 75.328307 1812 58.86 6234 22.74
195 2022 12 15 42926.80 75.728307 1811 58.83 6234 22.74
196 2022 12 15 42926.40 76.108774 1811 58.83 6235 22.75
197 2022 12 15 42926.80 76.508774 1812 58.87 6235 22.75
198 2022 12 15 42927.40 76.889136 1812 58.87 6235 22.75
199 2022 12 15 42927.80 77.289136 1811 58.84 6234 22.74
200 2022 12 15 42928.40 77.669639 1812 58.86 6234 22.74
201 2022 12 15 42928.80 78.069639 1812 58.86 6235 22.75
202 2022 12 15 42929.40 78.450160 1812 58.87 6234 22.74
203 2022 12 15 42929.80 78.850160 1812 58.86 6235 22.75
204 2022 12 15 42930.40 79.230470 1811 58.84 6234 22.74
205 2022 12 15 42930.80 79.630470 1812 58.86 6234 22.74
206 2022 12 15 42930.40 80.011052 1811 58.83 6234 22.74
207 2022 12 15 42930.80 80.411052 1812 58.86 6236 22.76
208 2022 12 15 42931.40 80.791648 1811 58.84 6235 22.75
209 2022 12 15 42931.80 81.191648 1811 58.84 6235 22.75
210 2022 12 15 42932.40 81.572161 1811 58.84 6235 22.75
211 2022 12 15 42932.80 81.972161 1811 58.84 6234 22.74
212 2022 12 15 42933.40 82.352598 1811 58.83 6235 22.75
213 2022 12 15 42933.80 82.752598 1811 58.84 6235 22.75
214 2022 12 15 42934.40 83.133255 1811 58.84 6234 22.74
215 2022 12 15 42934.80 83.533255 1811 58.83 6234 22.74
216 2022 12 15 42934.40 83.913845 1811 58.83 6234 22.74
217 2022 12 15 42934.80 84.313845 1811 58.83 6234 22.74
218 2022 12 15 42935.40 84.694322 1812 58.86 6234 22.74
219 2022 12 15 42935.80 85.094322 1812 58.86 6234 22.74
220 2022 12 15 42936.40 85.474717 1811 58.83 6235 22.75
221 2022 12 15 42936.80 85.874717 1812 58.87 6234 22.74
222 2022 12 15 42937.40 86.254973 1811 58.83 6235 22.75
223 2022 12 15 42937.80 86.654973 1812 58.87 6235 22.75
224 2022 12 15 42937.40 87.035396 1812 58.87 6235 22.75
225 2022 12 15 42937.80 87.435396 1812 58.87 6234 22.74
226 2022 12 15 42938.40 87.815923 1811 58.83 6234 22.74
227 2022 12 15 42938.80 88.215923 1812 58.86 6234 22.74
228 2022 12 15 42939.00 88.196129 1811 58.83 6235 22.75
229 2022 12 15 42939.40 88.596129 1811 58.84 6234 22.74
230 2022 12 15 42940.00 88.976403 1811 58.83 6235 22.75
231 2022 12 15 42940.40 89.376403 1812 58.87 6234 22.74
232 2022 12 15 42941.00 89.756668 1812 58.86 6234 22.74
233 2022 12 15 42941.40 90.156668 1811 58.83 6234 22.74
234 2022 12 15 42941.00 90.537238 1812 58.86 6235 22.75
235 2022 12 15 42941.40 90.937238 1812 58.87 6234 22.74
236 2022 12 15 42942.00 91.317539 1812 58.86 6234 22.74
237 2022 12 15 42942.40 91.717539 1812 58.86 6234 22.74
238 2022 12 15 42943.00 92.097826 1812 58.86 6234 22.74
239 2022 12 15 42943.40 92.497826 1812 58.86 6234 22.74
240 2022 12 15 42943.80 92.897826 1812 58.86 6234 22.74
241 2022 12 15 42944.40 93.278368 1812 58.86 6234 22.74
242 2022 12 15 42944.80 93.678368 1812 58.86 6234 22.74
243 2022 12 15 42944.40 94.058992 1812 58.86 6233 22.73
244 2022 12 15 42944.80 94.458992 1812 58.86 6233 22.73
245 2022 12 15 42945.40 94.839574 1812 58.86 6234 22.74
246 2022 12 15 42945.80 95.239574 1812 58.86 6234 22.74
247 2022 12 15 42946.40 95.619841 1812 58.86 6235 22.75
248 2022 12 15 42946.80 96.019841 1812 58.87 6234 22.74
249 2022 12 15 42947.40 96.400280 1812 58.86 6234 22.74
250 2022 12 15 42947.80 96.800280 1812 58.86 6234 22.74
251 2022 12 15 42948.40 97.180925 1812 58.86 6234 22.74
252 2022 12 15 42948.80 97.580925 1812 58.86 6234 22.74
253 2022 12 15 42948.40 97.961587 1812 58.86 6234 22.74
254 2022 12 15 42948.80 98.361587 1812 58.86 6234 22.74
255 2022 12 15 42949.40 98.741988 1812 58.86 6234 22.74
256 2022 12 15 42949.80 99.141988 1813 58.90 6234 22.74
257 2022 12 15 42950.40 99.522485 1813 58.90 6234 22.74
258 2022 12 15 42950.80 99.922485 1812 58.86 6233 22.73
259 2022 12 15 42951.40 100.302693 1812 58.86 6234 22.74
260 2022 12 15 42951.80 100.702693 1812 58.86 6233 22.73
261 2022 12 15 42951.40 101.082880 1812 58.86 6233 22.73
262 2022 12 15 42951.80 101.482880 1812 58.86 6235 22.75
263 2022 12 15 42952.40 101.863424 1813 58.90 6232 22.72
264 2022 12 15 42952.80 102.263424 1812 58.86 6233 22.73
265 2022 12 15 42953.40 102.643910 1812 58.86 6233 22.73
266 2022 12 15 42953.80 103.043910 1812 58.86 6234 22.74
267 2022 12 15 42954.40 103.424344 1812 58.86 6233 22.73
268 2022 12 15 42954.80 103.824344 1812 58.86 6234 22.74
269 2022 12 15 42955.40 104.204969 1812 58.86 6233 22.73
270 2022 12 15 42955.80 104.604969 1813 58.89 6234 22.74
271 2022 12 15 42955.40 104.985332 1812 58.86 6233 22.73
272 2022 12 15 42955.80 105.385332 1812 58.86 6233 22.73
273 2022 12 15 42956.40 105.765910 1813 58.89 6234 22.74
274 2022 12 15 42956.80 106.165910 1812 58.86 6234 22.74
275 2022 12 15 42957.00 106.146479 1812 58.86 6233 22.73
276 2022 12 15 42957.40 106.546479 1812 58.86 6233 22.73
277 2022 12 15 42958.00 106.926909 1812 58.86 6235 22.75
278 2022 12 15 42958.40 107.326909 1812 58.87 6234 22.74
279 2022 12 15 42958.00 107.707390 1812 58.86 6235 22.75
280 2022 12 15 42958.40 108.107390 1812 58.87 6234 22.74
281 2022 12 15 42959.00 108.487715 1812 58.86 6234 22.74
282 2022 12 15 42959.40 108.887715 1813 58.90 6233 22.73
283 2022 12 15 42960.00 109.267979 1813 58.89 6233 22.73
284 2022 12 15 42960.40 109.667979 1812 58.86 6233 22.73
285 2022 12 15 42961.00 110.048219 1813 58.89 6234 22.74
286 2022 12 15 42961.40 110.448219 1812 58.86 6233 22.73
287 2022 12 15 42962.00 110.828414 1812 58.86 6234 22.74
288 2022 12 15 42962.40 111.228414 1812 58.86 6234 22.74
289 2022 12 15 42962.80 111.628414 1812 58.86 6233 22.73
290 2022 12 15 42962.40 112.008750 1813 58.89 6233 22.73
291 2022 12 15 42962.80 112.408750 1812 58.86 6234 22.74
292 2022 12 15 42963.40 112.788976 1813 58.90 6234 22.74
293 2022 12 15 42963.80 113.188976 1812 58.86 6235 22.75
294 2022 12 15 42964.40 113.569299 1813 58.90 6234 22.74
295 2022 12 15 42964.80 113.969299 1812 58.86 6233 22.73
296 2022 12 15 42965.40 114.349663 1813 58.89 6234 22.74
297 2022 12 15 42965.80 114.749663 1813 58.90 6234 22.74
298 2022 12 15 42966.40 115.130339 1813 58.90 6233 22.73
299 2022 12 15 42966.80 115.530339 1813 58.89 6234 22.74
300 2022 12 15 42966.40 115.910916 1813 58.90 6232 22.72
301 2022 12 15 42966.80 116.310916 1813 58.89 6233 22.73
302 2022 12 15 42967.40 116.691437 1813 58.89 6232 22.72
303 2022 12 15 42967.80 117.091437 1813 58.89 6233 22.73
304 2022 12 15 42968.40 117.471905 1813 58.89 6232 22.72
305 2022 12 15 42968.80 117.871905 1813 58.89 6233 22.73
306 2022 12 15 42969.40 118.252107 1814 58.92 6232 22.72
307 2022 12 15 42969.80 118.652107 1813 58.89 6234 22.74
308 2022 12 15 42969.40 119.032484 1813 58.90 6233 22.73
309 2022 12 15 42969.80 119.432484 1814 58.92 6234 22.74
310 2022 12 15 42970.40 119.812890 1814 58.93 6234 22.74
311 2022 12 15 42970.80 120.212890 1814 58.93 6234 22.74
312 2022 12 15 42971.40 120.593391 1814 58.93 6233 22.73
313 2022 12 15 42971.80 120.993391 1814 58.92 6234 22.74
314 2022 12 15 42972.40 121.373639 1814 58.93 6234 22.74
315 2022 12 15 42972.80 121.773639 1814 58.93 6233 22.73
316 2022 12 15 42973.40 122.153999 1814 58.92 6233 22.73
317 2022 12 15 42973.80 122.553999 1813 58.89 6234 22.74
318 2022 12 15 42973.40 122.934500 1813 58.90 6233 22.73
319 2022 12 15 42973.80 123.334500 1814 58.92 6233 22.73
320 2022 12 15 42974.40 123.714739 1814 58.92 6232 22.72
321 2022 12 15 42974.80 124.114739 1814 58.92 6234 22.74
322 2022 12 15 42975.40 124.495146 1814 58.93 6234 22.74
323 2022 12 15 42975.80 124.895146 1814 58.93 6233 22.73
324 2022 12 15 42976.00 124.875861 1814 58.92 6232 22.72
325 2022 12 15 42976.40 125.275861 1814 58.92 6233 22.73
326 2022 12 15 42976.00 125.656436 1814 58.92 6233 22.73
327 2022 12 15 42976.40 126.056436 1814 58.92 6233 22.73
328 2022 12 15 42977.00 126.436993 1814 58.92 6233 22.73
329 2022 12 15 42977.40 126.836993 1814 58.92 6232 22.72
330 2022 12 15 42978.00 127.217521 1814 58.92 6233 22.73
331 2022 12 15 42978.40 127.617521 1814 58.92 6234 22.74
332 2022 12 15 42979.00 127.997930 1814 58.93 6233 22.73
333 2022 12 15 42979.40 128.397930 1814 58.92 6233 22.73
334 2022 12 15 42980.00 128.778199 1814 58.92 6233 22.73
335 2022 12 15 42980.40 129.178199 1814 58.92 6233 22.73
336 2022 12 15 42980.00 129.558704 1814 58.92 6233 22.73
337 2022 12 15 42980.40 129.958704 1815 58.96 6232 22.72
338 2022 12 15 42980.80 130.358704 1815 58.95 6233 22.73
339 2022 12 15 42981.40 130.739287 1814 58.92 6233 22.73
340 2022 12 15 42981.80 131.139287 1814 58.92 6233 22.73
341 2022 12 15 42982.40 131.519721 1815 58.96 6233 22.73
342 2022 12 15 42982.80 131.919721 1814 58.92 6233 22.73
343 2022 12 15 42983.40 132.300114 1814 58.92 6233 22.73
344 2022 12 15 42983.80 132.700114 1814 58.92 6233 22.73
345 2022 12 15 42983.40 133.080393 1814 58.92 6233 22.73
346 2022 12 15 42983.80 133.480393 1814 58.92 6232 22.72
347 2022 12 15 42984.40 133.860932 1814 58.92 6232 22.72
348 2022 12 15 42984.80 134.260932 1814 58.92 6233 22.73
349 2022 12 15 42985.40 134.641357 1814 58.92 6232 22.72
350 2022 12 15 42985.80 135.041357 1814 58.92 6232 22.72
351 2022 12 15 42986.40 135.421820 1814 58.92 6233 22.73
352 2022 12 15 42986.80 135.821820 1814 58.92 6233 22.73
353 2022 12 15 42987.40 136.202018 1814 58.92 6233 22.73
354 2022 12 15 42987.80 136.602018 1814 58.92 6233 22.73
355 2022 12 15 42987.40 136.982416 1814 58.92 6234 22.74
356 2022 12 15 42987.80 137.382416 1814 58.93 6233 22.73
357 2022 12 15 42988.40 137.762977 1814 58.92 6233 22.73
358 2022 12 15 42988.80 138.162977 1814 58.92 6233 22.73
359 2022 12 15 42989.40 138.543404 1814 58.92 6234 22.74
360 2022 12 15 42989.80 138.943404 1814 58.93 6234 22.74
361 2022 12 15 42990.40 139.324045 1814 58.93 6234 22.74
362 2022 12 15 42990.80 139.724045 1814 58.93 6234 22.74
363 2022 12 15 42990.40 140.104625 1814 58.93 6234 22.74
364 2022 12 15 42990.80 140.504625 1814 58.93 6235 22.75
365 2022 12 15 42991.40 140.885053 1814 58.93 6234 22.74
366 2022 12 15 42991.80 141.285053 1814 58.93 6234 22.74
367 2022 12 15 42992.40 141.665345 1814 58.93 6234 22.74
368 2022 12 15 42992.80 142.065345 1814 58.93 6234 22.74
369 2022 12 15 42993.40 142.445594 1814 58.93 6234 22.74
370 2022 12 15 42993.80 142.845594 1814 58.93 6234 22.74
371 2022 12 15 42994.00 142.825871 1814 58.93 6235 22.75
372 2022 12 15 42994.40 143.225871 1814 58.93 6234 22.74
