n anno mese giorno hum_int time RH_raw RH_true temp_int temp_corr
0 2022 12 15 45382.00 1.201136 1816 55.46 6234 22.74
1 2022 12 15 45382.40 1.601136 1816 58.99 6234 22.74
2 2022 12 15 45382.80 2.001136 1815 58.96 6235 22.75
3 2022 12 15 45383.40 2.802342 1815 58.96 6234 22.74
4 2022 12 15 45383.80 3.202342 1816 58.99 6235 22.75
5 2022 12 15 45384.20 3.602342 1815 58.96 6236 22.76
6 2022 12 15 45384.40 4.003034 1816 58.99 6235 22.75
7 2022 12 15 45384.80 4.403034 1816 58.99 6236 22.76
8 2022 12 15 45385.20 4.803034 1816 58.99 6235 22.75
9 2022 12 15 45385.40 5.203941 1815 58.96 6236 22.76
10 2022 12 15 45385.80 5.603941 1816 58.99 6235 22.75
11 2022 12 15 45386.20 6.003941 1815 58.96 6236 22.76
12 2022 12 15 45386.00 6.004611 1816 58.99 6235 22.75
13 2022 12 15 45386.40 6.404611 1816 58.99 6236 22.76
14 2022 12 15 45386.80 6.804611 1816 58.99 6235 22.75
15 2022 12 15 45388.00 7.205475 1816 58.99 6236 22.76
16 2022 12 15 45388.40 7.605475 1816 58.99 6235 22.75
17 2022 12 15 45388.80 8.005475 1816 58.99 6235 22.75
18 2022 12 15 45389.20 8.405475 1816 58.99 6236 22.76
19 2022 12 15 45389.40 8.806231 1816 58.99 6234 22.74
20 2022 12 15 45389.80 9.206231 1816 58.99 6236 22.76
21 2022 12 15 45390.20 9.606231 1816 58.99 6235 22.75
22 2022 12 15 45390.40 10.006972 1816 58.99 6234 22.74
23 2022 12 15 45390.80 10.406972 1816 58.99 6235 22.75
24 2022 12 15 45391.20 10.806972 1816 58.99 6235 22.75
25 2022 12 15 45391.40 11.207770 1816 58.99 6236 22.76
26 2022 12 15 45391.80 11.607770 1816 58.99 6235 22.75
27 2022 12 15 45392.20 12.007770 1816 58.99 6234 22.74
28 2022 12 15 45392.40 12.408503 1816 58.99 6235 22.75
29 2022 12 15 45392.80 12.808503 1816 58.99 6235 22.75
30 2022 12 15 45393.20 13.208503 1816 58.99 6235 22.75
31 2022 12 15 45394.40 13.609420 1816 58.99 6236 22.76
32 2022 12 15 45394.80 14.009420 1815 58.96 6234 22.74
33 2022 12 15 45395.20 14.409420 1816 58.99 6236 22.76
34 2022 12 15 45395.00 14.410542 1816 58.99 6235 22.75
35 2022 12 15 45395.40 14.810542 1816 58.99 6235 22.75
36 2022 12 15 45395.80 15.210542 1816 58.99 6234 22.74
37 2022 12 15 45396.00 15.611509 1816 58.99 6235 22.75
38 2022 12 15 45396.40 16.011509 1816 58.99 6234 22.74
39 2022 12 15 45396.80 16.411509 1816 58.99 6236 22.76
40 2022 12 15 45397.20 16.811509 1816 58.99 6235 22.75
41 2022 12 15 45397.40 17.212792 1816 58.99 6235 22.75
42 2022 12 15 45397.80 17.612792 1816 58.99 6235 22.75
43 2022 12 15 45398.20 18.012792 1816 58.99 6236 22.76
44 2022 12 15 45398.40 18.413308 1816 58.99 6236 22.76
45 2022 12 15 45398.80 18.813308 1816 58.99 6236 22.76
46 2022 12 15 45399.20 19.213308 1816 58.99 6236 22.76
47 2022 12 15 45400.40 19.613806 1816 58.99 6236 22.76
48 2022 12 15 45400.80 20.013806 1816 58.99 6236 22.76
49 2022 12 15 45401.20 20.413806 1815 58.96 6236 22.76
50 2022 12 15 45401.40 20.814285 1816 58.99 6236 22.76
51 2022 12 15 45401.80 21.214285 1816 58.99 6236 22.76
52 2022 12 15 45402.20 21.614285 1816 58.99 6235 22.75
53 2022 12 15 45402.40 22.014903 1815 58.96 6237 22.77
54 2022 12 15 45402.80 22.414903 1816 58.99 6236 22.76
55 2022 12 15 45403.20 22.814903 1816 58.99 6236 22.76
56 2022 12 15 45403.00 22.815556 1815 58.96 6237 22.77
57 2022 12 15 45403.40 23.215556 1816 58.99 6236 22.76
58 2022 12 15 45403.80 23.615556 1815 58.96 6236 22.76
59 2022 12 15 45404.00 24.015896 1815 58.96 6236 22.76
60 2022 12 15 45404.40 24.415896 1815 58.96 6236 22.76
61 2022 12 15 45404.80 24.815896 1815 58.96 6236 22.76
62 2022 12 15 45405.20 25.215896 1815 58.96 6237 22.77
63 2022 12 15 45406.40 25.616192 1815 58.96 6235 22.75
64 2022 12 15 45406.80 26.016192 1815 58.96 6236 22.76
65 2022 12 15 45407.20 26.416192 1815 58.96 6237 22.77
66 2022 12 15 45407.40 26.816449 1816 58.99 6236 22.76
67 2022 12 15 45407.80 27.216449 1815 58.96 6236 22.76
68 2022 12 15 45408.20 27.616449 1815 58.96 6237 22.77
69 2022 12 15 45408.40 28.016936 1815 58.96 6237 22.77
70 2022 12 15 45408.80 28.416936 1815 58.96 6237 22.77
71 2022 12 15 45409.20 28.816936 1815 58.96 6236 22.76
72 2022 12 15 45409.40 29.217468 1815 58.96 6236 22.76
73 2022 12 15 45409.80 29.617468 1814 58.93 6237 22.77
74 2022 12 15 45410.20 30.017468 1814 58.93 6237 22.77
75 2022 12 15 45410.40 30.417747 1815 58.96 6237 22.77
76 2022 12 15 45410.80 30.817747 1815 58.96 6238 22.78
77 2022 12 15 45411.20 31.217747 1815 58.96 6237 22.77
78 2022 12 15 45412.00 31.218091 1815 58.96 6237 22.77
79 2022 12 15 45412.40 31.618091 1815 58.96 6237 22.77
80 2022 12 15 45412.80 32.018091 1814 58.93 6237 22.77
81 2022 12 15 45413.00 32.418365 1814 58.93 6238 22.78
82 2022 12 15 45413.40 32.818365 1814 58.93 6237 22.77
83 2022 12 15 45413.80 33.218365 1814 58.93 6236 22.76
84 2022 12 15 45414.20 33.618365 1814 58.93 6237 22.77
85 2022 12 15 45414.40 34.018708 1814 58.93 6237 22.77
86 2022 12 15 45414.80 34.418708 1814 58.93 6238 22.78
87 2022 12 15 45415.20 34.818708 1814 58.93 6237 22.77
88 2022 12 15 45415.40 35.219024 1814 58.93 6236 22.76
89 2022 12 15 45415.80 35.619024 1814 58.93 6238 22.78
90 2022 12 15 45416.20 36.019024 1814 58.93 6237 22.77
91 2022 12 15 45416.40 36.419330 1814 58.93 6237 22.77
92 2022 12 15 45416.80 36.819330 1814 58.93 6236 22.76
93 2022 12 15 45417.20 37.219330 1814 58.93 6237 22.77
94 2022 12 15 45418.40 37.619906 1815 58.96 6238 22.78
95 2022 12 15 45418.80 38.019906 1814 58.93 6238 22.78
96 2022 12 15 45419.20 38.419906 1814 58.93 6237 22.77
97 2022 12 15 45419.40 38.820377 1814 58.93 6237 22.77
98 2022 12 15 45419.80 39.220377 1814 58.93 6238 22.78
99 2022 12 15 45420.20 39.620377 1814 58.93 6237 22.77
100 2022 12 15 45420.00 39.620709 1814 58.93 6238 22.78
101 2022 12 15 45420.40 40.020709 1814 58.93 6238 22.78
102 2022 12 15 45420.80 40.420709 1814 58.93 6237 22.77
103 2022 12 15 45421.00 40.821019 1814 58.93 6238 22.78
104 2022 12 15 45421.40 41.221019 1814 58.93 6238 22.78
105 2022 12 15 45421.80 41.621019 1814 58.93 6237 22.77
106 2022 12 15 45422.20 42.021019 1814 58.93 6236 22.76
107 2022 12 15 45422.40 42.421387 1814 58.93 6237 22.77
108 2022 12 15 45422.80 42.821387 1814 58.93 6237 22.77
109 2022 12 15 45423.20 43.221387 1814 58.93 6237 22.77
110 2022 12 15 45424.40 43.621703 1814 58.93 6238 22.78
111 2022 12 15 45424.80 44.021703 1814 58.93 6237 22.77
112 2022 12 15 45425.20 44.421703 1814 58.93 6238 22.78
113 2022 12 15 45425.40 44.822134 1814 58.93 6238 22.78
114 2022 12 15 45425.80 45.222134 1814 58.93 6239 22.79
115 2022 12 15 45426.20 45.622134 1813 58.90 6238 22.78
116 2022 12 15 45426.40 46.022450 1813 58.90 6238 22.78
117 2022 12 15 45426.80 46.422450 1813 58.90 6239 22.79
118 2022 12 15 45427.20 46.822450 1813 58.90 6238 22.78
119 2022 12 15 45427.40 47.222768 1814 58.93 6238 22.78
120 2022 12 15 45427.80 47.622768 1813 58.90 6238 22.78
121 2022 12 15 45428.20 48.022768 1813 58.90 6238 22.78
122 2022 12 15 45428.00 48.023320 1813 58.90 6239 22.79
123 2022 12 15 45428.40 48.423320 1813 58.90 6238 22.78
124 2022 12 15 45428.80 48.823320 1814 58.93 6238 22.78
125 2022 12 15 45430.00 49.223919 1813 58.90 6238 22.78
126 2022 12 15 45430.40 49.623919 1813 58.90 6238 22.78
